event,node,start,end
form start,,1639373802141,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639373802142,1639373802965
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639373802972,1639373804277
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639373804283,1639373805492
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639373805501,1639373810446
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639373810452,1639373814610
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639373814676,1639373816704
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639373816713,1639373832743
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639373832750,1639373856965
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639373856971,1639373860844
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639373860852,1639373878644
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639373878651,1639373879610
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639373879617,1639373893075
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639373893081,1639373904946
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639373904953,1639373920235
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639373920241,1639373921817
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639373921827,1639373945245
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639373945252,1639373949150
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639373949157,1639373950822
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639373950828,1639373973199
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639373973206,1639373975600
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639373975607,1639373978179
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639373978186,1639373992890
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639373992897,1639374010654
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639374010662,1639374015573
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639374015580,1639374017210
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639374017217,1639374038407
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639374038415,1639374041382
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639374041390,1639374044814
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639374044821,1639374049257
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639374049265,1639374062585
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639374062592,1639374079457
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639374079465,1639374082396
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639374082403,1639374083789
