event,node,start,end
form start,,1639373196288,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639373196289,1639373196796
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639373196810,1639373197935
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639373197944,1639373199311
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639373199318,1639373202962
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639373202969,1639373207951
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639373207985,1639373210266
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639373210299,1639373228264
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639373228273,1639373570499
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639373570507,1639373572781
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639373572799,1639373576023
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639373576031,1639373576774
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639373576782,1639373585949
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639373585959,1639373590904
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639373590913,1639373606789
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639373606799,1639373608644
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639373608653,1639373623660
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639373623670,1639373634447
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639373634456,1639373637280
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639373637287,1639373650657
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639373650666,1639373652705
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/HHH_name,1639373652713,1639373661512
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/HHH_father_name,1639373661520,1639373669642
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hhh_gender,1639373669650,1639373672090
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/HHH_age,1639373672099,1639373676335
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639373676343,1639373702715
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639373702723,1639373713905
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639373713914,1639373715324
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639373715332,1639373716895
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639373716902,1639373718407
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639373718415,1639373768001
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639373768010,1639373769304
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639373769312,1639373770658
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639373770666,1639373771953
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639373771961,1639373773198
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639373773206,1639373774401
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639373774409,1639373775888
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1639373775896,1639373777584
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1639373777593,1639373781720
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1639373781730,1639373784887
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1639373784896,1639373787101
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_remembering,1639373787111,1639373789759
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1639373789772,1639373792399
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1639373792408,1639373794204
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1639373794214,1639373796410
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1639373796421,1639373798048
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_province,1639373798058,1639373803538
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_district,1639373803566,1639373805610
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displacement_duration,1639373805639,1639373809187
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/move_intention,1639373809198,1639373811108
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected,1639373811117,1639373816297
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/loss_family_member,1639373816307,1639373817935
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_received,1639373817945,1639373822497
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/insuff_food,1639373822508,1639373824105
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/sold_asset,1639373824115,1639373839622
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/seek_employment,1639373839633,1639373841518
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/working,1639373841531,1639373843524
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/borrow,1639373843536,1639373844742
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/medical_attention,1639373844754,1639373846372
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/early_marry,1639373846381,1639373847874
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_eat_note,1639373847883,1639373848768
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/cereal,1639373848776,1639373854286
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/pulse,1639373854296,1639373861080
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/vegetable,1639373861089,1639373866067
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/fruit,1639373866078,1639373867805
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/meat,1639373867813,1639373871448
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/dairy,1639373871457,1639373873036
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/sugar,1639373873043,1639373875860
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/oil,1639373875867,1639373880823
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/condiment,1639373880833,1639373883253
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_had_to_note,1639373883261,1639373884447
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/less_food,1639373884455,1639373888344
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/borrow_food,1639373888351,1639373890608
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/limit_mealtime,1639373890616,1639373892103
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/restrict_consumption,1639373892111,1639373893625
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/reduce_meal,1639373893634,1639373897307
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/restrict_consumption,1639373897315,1639373899323
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/reduce_meal,1639373899330,1639373900785
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_type,1639373900793,1639373902839
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_resident,1639373902847,1639373905622
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/tenure_status,1639373905630,1639373912857
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_concern,1639373912867,1639373928826
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/nfi_need,1639373928834,1639373937123
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_access,1639373937134,1639373938393
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_source,1639373938404,1639373949165
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_far_distance,1639373949174,1639373950919
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/latrine_access,1639373950928,1639373953375
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/latrine_disability_friendly,1639373953384,1639373955548
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/handwashing_facilities,1639373955558,1639373957336
question,/ameM9v8nctyy8MRHMJfRX7/health/health_fac_2hours,1639373957345,1639373958531
question,/ameM9v8nctyy8MRHMJfRX7/health/health_barriers,1639373958541,1639373960938
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/debt_amount,1639373960951,1639373968825
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/debt_expenditure,1639373968834,1639373976262
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/adult_working,1639373976275,1639373978676
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/debt_expenditure,1639373978685,1639373982571
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/adult_working,1639373982581,1639373984351
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/adult_working_days,1639373984361,1639373985395
question,/ameM9v8nctyy8MRHMJfRX7/protection/protection_question,1639373985404,1639373987735
question,/ameM9v8nctyy8MRHMJfRX7/protection/environmental_dangers,1639373987744,1639373989732
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod/assist_preference,1639373989742,1639373991228
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod/cash_safe_market,1639373991237,1639373992932
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod/feedback_preference,1639373992941,1639373994720
question,/ameM9v8nctyy8MRHMJfRX7/comment_box,1639373994729,1639373996316
end screen,,1639373996325,1639374215701
