event,node,start,end
form start,,1639394320795,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639394320797,1639394321524
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639394321534,1639394322683
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639394322695,1639394324306
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639394324318,1639394329685
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639394329697,1639394333216
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639394333251,1639394355350
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639394355392,1639394361346
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639394361356,1639394390659
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639394390673,1639394392826
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639394392838,1639394396422
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639394396434,1639394398437
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639394398449,1639394409513
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639394409524,1639394418606
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639394418620,1639394425951
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639394425963,1639394428232
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639394428245,1639394438709
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639394438722,1639394457463
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639394457474,1639394459278
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639394459291,1639394467705
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639394467716,1639394477765
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639394477777,1639394482727
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639394482741,1639394496069
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639394496082,1639394498134
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639394498146,1639394507127
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639394507139,1639394508110
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639394508122,1639394510292
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639394510304,1639394511024
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639394511038,1639394521700
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639394521712,1639394524648
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639394524661,1639394542068
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639394542079,1639394544201
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639394544213,1639394550297
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639394550309,1639394553378
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639394553390,1639394555393
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639394555406,1639394556925
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639394556940,1639394558874
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639394558886,1639394562654
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639394562666,1639394567435
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639394567447,1639394569333
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1639394569345,1639394581541
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639394581553,1639394585121
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1639394585133,1639394591799
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/HHH_diff_seeing,1639394591813,1639394594481
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1639394594496,1639394610537
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1639394610549,1639394614467
