event,node,start,end
form start,,1639304553676,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639304553677,1639304554663
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639304554672,1639304556181
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639304556194,1639304558116
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639304558125,1639304559142
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639304559151,1639304560485
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639304560494,1639304570486
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639304570499,1639304576091
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639304576146,1639304581538
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639304581555,1639304585867
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639304585877,1639304587018
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639304587028,1639304626156
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639304626165,1639304723604
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639304723615,1639304726257
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639304726265,1639304727308
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639304727318,1639304728434
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639304728443,1639304737409
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639304737418,1639304738343
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639304738352,1639304749912
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639304749921,1639304760397
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639304760406,1639304769039
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639304769048,1639304770740
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639304770750,1639304783644
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639304783653,1639304788624
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639304788634,1639304790284
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639304790295,1639304801419
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639304801428,1639304803555
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639304803564,1639304806065
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639304806076,1639304828699
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639304828711,1639304834597
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639304834608,1639304841996
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639304842006,1639304846025
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639304846036,1639304862168
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639304862180,1639304863294
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639304863306,1639304865804
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639304865816,1639304866955
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639304866965,1639304872035
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639304872048,1639304872977
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639304872988,1639304873886
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639304873896,1639304875372
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639304875384,1639304876147
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639304876156,1639304877415
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639304877427,1639304881902
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639304881914,1639304883070
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639304883078,1639304885089
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639304885097,1639304887241
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639304887252,1639304888667
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639304888676,1639304896034
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639304896043,1639304898862
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639304898872,1639304901865
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639304901876,1639304902774
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639304902784,1639304903508
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639304903516,1639304904417
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639304904425,1639304905426
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639304905438,1639304906319
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639304906328,1639304907354
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639304907365,1639304908154
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639304908165,1639304909121
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639304909130,1639304909580
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639304909592,1639304910448
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639304910457,1639304910940
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639304910952,1639304911540
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639304911551,1639304912249
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639304912258,1639304913283
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639304913293,1639304914143
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639304914152,1639304914969
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639304914978,1639304917487
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639304917498,1639304918981
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1639304918993,1639304928390
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639304928400,1639304931618
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1639304931631,1639304944150
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1639304944160,1639304955978
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_hearing,1639304955990,1639304957663
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1639304957674,1639304962192
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1639304962205,1639304976372
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_remembering,1639304976382,1639304978299
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1639304978309,1639304985425
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1639304985437,1639304991462
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1639304991472,1639305005416
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1639305005423,1639305007268
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_province,1639305007276,1639305014390
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_district,1639305014432,1639305017110
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displacement_duration,1639305017123,1639305019121
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/move_intention,1639305019129,1639305020972
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected,1639305020982,1639305022865
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/loss_family_member,1639305022875,1639305025184
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_received,1639305025193,1639305033688
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/insuff_food,1639305033696,1639305038454
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/sold_asset,1639305038465,1639305042449
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/seek_employment,1639305042459,1639305046137
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/working,1639305046147,1639305049680
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/borrow,1639305049690,1639305051715
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/medical_attention,1639305051724,1639305054527
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/early_marry,1639305054536,1639305056785
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_eat_note,1639305056794,1639305058119
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/cereal,1639305058128,1639305061709
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/pulse,1639305061719,1639305067364
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/vegetable,1639305067376,1639305095645
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/fruit,1639305095654,1639305097084
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/vegetable,1639305097093,1639305098514
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/fruit,1639305098525,1639305101024
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/meat,1639305101034,1639305103493
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/dairy,1639305103503,1639305106571
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/sugar,1639305106581,1639305117946
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/oil,1639305117955,1639305156416
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/condiment,1639305156427,1639305158490
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_had_to_note,1639305158501,1639305159582
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/less_food,1639305159593,1639305161112
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/borrow_food,1639305161124,1639305168142
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/limit_mealtime,1639305168153,1639305189379
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/restrict_consumption,1639305189390,1639305203759
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/reduce_meal,1639305203770,1639305220693
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/childs_health,1639305220705,1639305253505
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_type,1639305253515,1639305259002
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_resident,1639305259015,1639305262088
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/tenure_status,1639305262098,1639305271366
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_concern,1639305271380,1639305272567
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/tenure_status,1639305272579,1639305273852
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_concern,1639305273864,1639305279191
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/nfi_need,1639305279204,1639305283086
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_access,1639305283099,1639305284979
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_source,1639305284993,1639305286823
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_far_distance,1639305286836,1639305288524
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/latrine_access,1639305288534,1639305295603
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/latrine_disability_friendly,1639305295615,1639305297404
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/handwashing_facilities,1639305297415,1639305308510
question,/ameM9v8nctyy8MRHMJfRX7/health/health_fac_2hours,1639305308524,1639305310779
question,/ameM9v8nctyy8MRHMJfRX7/health/health_barriers,1639305310792,1639305322090
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/debt_amount,1639305322103,1639305334796
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/debt_expenditure,1639305334809,1639305341762
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/adult_working,1639305341777,1639305344455
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/adult_working_days,1639305344465,1639305369352
question,/ameM9v8nctyy8MRHMJfRX7/protection/protection_question,1639305369362,1639305373957
question,/ameM9v8nctyy8MRHMJfRX7/protection/environmental_dangers,1639305373973,1639305459636
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod/assist_preference,1639305459644,1639305464373
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod/cash_safe_market,1639305464382,1639305469019
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod/feedback_preference,1639305469031,1639305470880
question,/ameM9v8nctyy8MRHMJfRX7/comment_box,1639305470891,1639305519216
end screen,,1639305519225,1639305550900
jump,,1639305550900,1639305558432
question,/ameM9v8nctyy8MRHMJfRX7/comment_box,1639305557184,1639305558432
end screen,,1639305558444,1639305601906
form save,,1639305602171,
form exit,,1639305602172,
form finalize,,1639305602172,

