event,node,start,end
form start,,1638357030843,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1638357030844,1638357032702
question,/ameM9v8nctyy8MRHMJfRX7/consent,1638357032716,1638357033841
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1638357033854,1638357035210
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1638357035219,1638357042005
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1638357042023,1638357046048
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1638357046086,1638357053791
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1638357053810,1638357064886
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1638357064901,1638357097137
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1638357097151,1638357100664
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1638357100678,1638357105273
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1638357105290,1638357106006
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1638357106020,1638357122038
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1638357122055,1638357134314
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1638357134329,1638357141500
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1638357141518,1638357143100
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1638357143116,1638357152371
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1638357152386,1638357155547
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1638357155562,1638357158005
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1638357158066,1638357176811
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1638357176824,1638357178570
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1638357178583,1638357184305
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638357184319,1638357211933
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638357211949,1638357214096
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638357214110,1638357219297
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638357219311,1638357221489
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638357221504,1638357225573
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1638357225590,1638357228458
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1638357228473,1638357232018
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1638357232033,1638357233659
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1638357233675,1638357235110
