event,node,start,end
form start,,1639041914466,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639041914466,1639041916043
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639041916051,1639041917281
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639041917291,1639041918592
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639041918600,1639041925018
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639041925026,1639041928001
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639041928039,1639041935212
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639041935223,1639041942323
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639041942331,1639042545965
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639042545974,1639042549166
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639042549176,1639042554847
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639042554856,1639042558800
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639042558808,1639042560763
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639042560771,1639042561265
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639042561273,1639042566328
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639042566338,1639042567256
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639042567264,1639042571550
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639042571558,1639042580032
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639042580041,1639042583023
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639042583032,1639042589190
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639042589197,1639042605651
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639042605659,1639042617166
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639042617173,1639042619138
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639042619145,1639042628663
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639042628670,1639042631329
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/HHH_name,1639042631338,1639042637262
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/HHH_father_name,1639042637269,1639042644155
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hhh_gender,1639042644163,1639042646578
