event,node,start,end
form start,,1638423926215,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1638423926217,1638423927525
question,/ameM9v8nctyy8MRHMJfRX7/consent,1638423927534,1638423953634
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1638423953641,1638423973287
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1638423973295,1638423985697
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1638423985705,1638423991440
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1638423991485,1638423999585
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1638423999624,1638424011858
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1638424011865,1638424058057
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1638424058066,1638424062747
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1638424062755,1638424069237
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1638424069245,1638424070553
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1638424070561,1638424086790
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1638424086799,1638424103474
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1638424103482,1638424108900
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1638424108907,1638424110825
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1638424110833,1638424125223
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1638424125231,1638424135312
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1638424135320,1638424137293
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1638424137303,1638424165164
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1638424165173,1638424167508
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1638424167517,1638424172312
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638424172319,1638424206816
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638424206824,1638424229156
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638424229173,1638424230264
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1638424230271,1638424231812
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638424231818,1638424239214
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1638424239228,1638424247979
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1638424247986,1638424249412
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1638424249422,1638424250881
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1638424250889,1638424253282
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1638424253291,1638424254532
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1638424254539,1638424255488
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1638424255496,1638424256738
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1638424256747,1638424260981
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1638424260987,1638424261856
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1638424261864,1638424262578
