event,node,start,end
form start,,1638786770805,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1638786770806,1638786772378
question,/ameM9v8nctyy8MRHMJfRX7/consent,1638786772386,1638786780405
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1638786780413,1638786784141
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1638786784149,1638786792260
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1638786792269,1638786799177
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1638786799217,1638786804418
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1638786804433,1638786811842
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1638786811850,1638786813775
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1638786813785,1638786816536
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1638786816546,1638786825362
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1638786825371,1638786826535
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1638786826544,1638786848892
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1638786848900,1638786904001
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1638786904010,1638786918799
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1638786918806,1638786921447
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1638786921454,1638786954975
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1638786954983,1638786966476
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1638786966484,1638786968824
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1638786968832,1638786987757
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1638786987765,1638786993737
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1638786993745,1638786997651
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638786997659,1638787015850
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638787015859,1638787018108
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638787018117,1638787020445
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638787020457,1638787022014
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638787022021,1638787028067
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1638787028075,1638787036143
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1638787036151,1638787037976
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1638787037984,1638787039345
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1638787039352,1638787041461
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1638787041469,1638787042766
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1638787042773,1638787056060
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1638787056067,1638787060911
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1638787060919,1638787061768
