event,node,start,end
form start,,1639467409401,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639467409403,1639467410641
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639467410657,1639467413512
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639467413529,1639467416302
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639467416324,1639467421406
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639467421423,1639467425593
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639467425645,1639467428903
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639467428933,1639467440201
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639467440218,1639467474599
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639467474616,1639467477080
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639467477103,1639467481495
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639467481508,1639467482703
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639467482717,1639467490391
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639467490404,1639467504190
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639467504206,1639467508263
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639467508288,1639467510146
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639467510160,1639467517836
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639467517856,1639467521816
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639467521840,1639467523406
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639467523423,1639467533924
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639467533943,1639467536254
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639467536268,1639467540568
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639467540587,1639467543020
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639467543041,1639467549255
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639467549269,1639467558093
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639467558105,1639467559508
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639467559527,1639467562083
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639467562098,1639467569809
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639467569835,1639467570993
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639467571017,1639467572412
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639467572434,1639467575972
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639467575997,1639467577405
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639467577427,1639467587591
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639467587607,1639467592262
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639467592291,1639467595073
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639467595104,1639467599166
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639467599181,1639467600858
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639467600878,1639467604088
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639467604103,1639467608264
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639467608280,1639467610528
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639467610542,1639467612110
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639467612126,1639467614165
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639467614187,1639467615852
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639467615872,1639467617218
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1639467617234,1639467618802
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639467618822,1639467622014
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/total_mem_confirm,1639467622036,1639467625143
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639467625163,1639467626648
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1639467626669,1639467627703
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639467627724,1639467628708
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639467628730,1639467629385
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639467629394,1639467629919
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639467629928,1639467630660
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639467630673,1639467631440
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639467631453,1639467635741
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639467635764,1639467636176
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639467636186,1639467636618
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639467636630,1639467637325
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639467637334,1639467637942
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639467637949,1639467638410
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639467638421,1639467639038
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639467639050,1639467640645
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639467640665,1639467642044
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639467642063,1639467647984
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639467648006,1639467648374
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639467648386,1639467648781
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639467648791,1639467649444
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639467649457,1639467649804
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639467649814,1639467650163
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639467650175,1639467650537
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639467650550,1639467650904
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639467650920,1639467651292
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639467651301,1639467651727
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639467651738,1639467652185
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1639467652194,1639467652677
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639467652687,1639467653356
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1639467653367,1639467655389
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1639467655406,1639467657189
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1639467657204,1639467659635
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1639467659653,1639467660119
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1639467660133,1639467660509
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639467660521,1639467660950
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1639467660960,1639467662983
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639467663007,1639467664175
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1639467664197,1639467664912
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639467664927,1639467669033
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1639467669050,1639467670563
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1639467670581,1639467671906
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1639467671919,1639467673338
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1639467673351,1639467674894
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1639467674912,1639467676934
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1639467676949,1639467679280
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1639467679291,1639467682012
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1639467682029,1639467690443
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/move_intention,1639467690464,1639467693170
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected,1639467693192,1639467696706
