event,node,start,end
form start,,1639466889764,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639466889766,1639466891007
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639466891016,1639466899626
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639466899633,1639466909871
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639466909878,1639466916735
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639466916742,1639466921565
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639466921619,1639466926427
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639466926456,1639466940874
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639466940881,1639466951326
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639466951334,1639466954672
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639466954681,1639466966916
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639466966922,1639466968342
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639466968350,1639466979444
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639466979451,1639466989320
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639466989329,1639466997720
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639466997727,1639467000272
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639467000278,1639467026598
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639467026606,1639467039847
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639467039855,1639467043908
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639467043914,1639467057262
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639467057268,1639467061575
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/HHH_name,1639467061582,1639467070642
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/HHH_father_name,1639467070649,1639467087132
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hhh_gender,1639467087139,1639467090727
