event,node,start,end
form start,,1639288867338,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639288867339,1639288868117
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639288868128,1639288869337
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639288869344,1639288872367
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639288872374,1639288901045
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639288901054,1639288903798
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639288903845,1639288911299
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639288911335,1639288940524
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639288940532,1639289141849
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639289141858,1639289145338
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639289145346,1639289150405
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639289150413,1639289151263
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639289151272,1639289160343
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639289160350,1639289171679
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639289171686,1639289180915
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639289180923,1639289188615
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639289188622,1639289254423
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639289254432,1639289269071
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639289269079,1639289271108
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639289271117,1639289301291
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639289301299,1639289303556
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639289303566,1639289309057
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639289309065,1639289310284
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639289310292,1639289330264
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639289330272,1639289331914
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639289331922,1639289333061
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639289333069,1639289351951
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639289351959,1639289353071
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639289353079,1639289358131
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639289358139,1639289359649
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639289359657,1639289366614
