event,node,start,end
form start,,1638871061202,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1638871061203,1638871063566
question,/ameM9v8nctyy8MRHMJfRX7/consent,1638871063590,1638871156637
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1638871156645,1638871158006
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1638871158011,1638871162662
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1638871162669,1638871165761
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1638871165877,1638871174445
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1638871174458,1638871194835
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1638871194839,1638871202645
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1638871202653,1638871205283
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1638871205290,1638871218157
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1638871218162,1638871219384
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1638871219390,1638871228415
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1638871228431,1638871267196
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1638871267203,1638871275532
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1638871275541,1638871276888
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1638871276898,1638871298081
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1638871298094,1638871304463
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1638871304471,1638871306093
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1638871306098,1638871319462
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1638871319479,1638871323929
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1638871323938,1638871336230
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1638871336235,1638871364007
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1638871364015,1638871383663
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638871383668,1638871413724
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638871413736,1638871415334
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638871415340,1638871422825
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638871422833,1638871424259
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638871424266,1638871473779
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1638871473788,1638871485869
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638871485876,1638871487359
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1638871487376,1638871493487
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638871493511,1638871495528
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1638871495534,1638871527601
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638871527611,1638871528689
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1638871528698,1638871529640
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1638871529644,1638871531096
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1638871531104,1638871532326
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1638871532339,1638871533682
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1638871533687,1638871534896
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1638871534902,1638871552665
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1638871552679,1638871555980
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1638871555986,1638871567455
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1638871567461,1638871569937
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1638871569943,1638871595363
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1638871595373,1638871600022
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1638871600030,1638871605600
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1638871605611,1638871622193
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_remembering,1638871622202,1638871624677
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1638871624682,1638871644299
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1638871644308,1638871645856
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1638871645881,1638871650440
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1638871650445,1638871653197
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/move_intention,1638871653204,1638871658586
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected,1638871658592,1638871660971
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/move_intention,1638871660980,1638871677066
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected,1638871677073,1638871687170
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/loss_family_member,1638871687175,1638871695365
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_received,1638871695374,1638871699947
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/insuff_food,1638871699952,1638871736430
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/sold_asset,1638871736437,1638871766356
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/seek_employment,1638871766361,1638871775949
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/working,1638871775962,1638871777819
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/seek_employment,1638871777829,1638871782654
