event,node,start,end
form start,,1639390036970,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639390036973,1639390043359
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639390043398,1639390044848
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639390044859,1639390046243
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639390046254,1639390065736
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639390065749,1639390072082
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639390072173,1639390076082
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639390076096,1639390081926
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639390081936,1639390185191
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639390185233,1639390192309
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639390192324,1639390200738
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639390200749,1639390201746
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639390201756,1639390206020
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639390206028,1639390206973
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639390206983,1639390207687
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639390207696,1639390225941
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639390225950,1639390256493
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639390256504,1639390258003
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639390258012,1639390284915
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639390284925,1639390289438
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639390289450,1639390292235
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639390292248,1639390292817
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639390292827,1639390293358
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639390293366,1639390293815
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639390293824,1639390294431
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639390294441,1639390295104
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639390295117,1639390295924
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639390295935,1639390296540
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639390296549,1639390297307
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639390297317,1639390298222
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639390298230,1639390300306
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639390300317,1639390301055
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639390301065,1639390305002
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639390305014,1639390305785
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639390305795,1639390306213
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639390306222,1639390306694
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639390306703,1639390307093
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639390307102,1639390307543
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639390307554,1639390307965
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639390307976,1639390308589
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639390308598,1639390309095
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639390309104,1639390309910
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639390309918,1639390311546
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639390311557,1639390324046
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639390324056,1639390327419
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639390327428,1639390328150
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639390328160,1639390330092
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639390330102,1639390334446
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639390334457,1639390348091
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639390348101,1639390355673
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639390355683,1639390364205
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639390364214,1639390368609
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639390368620,1639390370901
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639390370910,1639390372598
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639390372608,1639390374203
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639390374212,1639390375808
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639390375816,1639390377382
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639390377393,1639390383232
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1639390383241,1639390388656
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639390388665,1639390392012
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/total_mem_confirm,1639390392021,1639390396385
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639390396396,1639390396951
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1639390396960,1639390397425
