event,node,start,end
form start,,1639467070016,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639467070017,1639467071148
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639467071157,1639467073424
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639467073433,1639467075414
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639467075424,1639467085851
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639467085862,1639467090208
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639467090262,1639467096294
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639467096306,1639467187059
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639467187070,1639467282430
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639467282438,1639467297073
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639467297079,1639467310607
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639467310618,1639467311960
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639467311969,1639467323347
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639467323357,1639467332564
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639467332575,1639467345697
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639467345707,1639467348920
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639467348928,1639467367595
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639467367603,1639467389193
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639467389200,1639467392157
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639467392167,1639467420377
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639467420388,1639467425596
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639467425603,1639467432467
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639467432476,1639467448847
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639467448859,1639467452187
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639467452196,1639467458885
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639467458893,1639467463207
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639467463215,1639467510597
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639467510606,1639467511774
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639467511783,1639467513878
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639467513893,1639467514646
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639467514659,1639467526585
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639467526597,1639467531820
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639467531828,1639467537212
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639467537222,1639467539133
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639467539142,1639467541595
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639467541608,1639467545236
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1639467545246,1639467548024
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639467548036,1639467569790
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1639467569798,1639467581235
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1639467581246,1639467583865
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1639467583872,1639467587213
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1639467587224,1639467592406
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1639467592416,1639467595762
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1639467595771,1639467599403
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1639467599411,1639467610740
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1639467610750,1639467624090
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_province,1639467624098,1639467632864
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_district,1639467632878,1639467638007
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displacement_duration,1639467638020,1639467641246
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/move_intention,1639467641258,1639467646038
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected,1639467646049,1639467654204
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/loss_family_member,1639467654213,1639467659338
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_received,1639467659346,1639467663553
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/insuff_food,1639467663563,1639467670617
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/sold_asset,1639467670626,1639467690261
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/seek_employment,1639467690269,1639467706380
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/working,1639467706388,1639467715379
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/borrow,1639467715387,1639467725280
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/medical_attention,1639467725289,1639467728278
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/early_marry,1639467728287,1639467736817
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_eat_note,1639467736827,1639467741833
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/cereal,1639467741842,1639467746485
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/pulse,1639467746498,1639467753206
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/vegetable,1639467753216,1639467755261
