event,node,start,end
form start,,1639291168407,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639291168408,1639291177836
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639291177844,1639291179116
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639291179124,1639291180479
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639291180484,1639291205757
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639291205766,1639291210575
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639291210594,1639291213081
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639291213089,1639291218782
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639291218788,1639291301605
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639291301613,1639291327742
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639291327749,1639291332013
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639291332023,1639291333331
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639291333340,1639291355113
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639291355121,1639291366368
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639291366378,1639291385545
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639291385553,1639291387553
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639291387561,1639291404632
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639291404639,1639291408666
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639291408673,1639291410607
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639291410615,1639291427232
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639291427241,1639291452769
