event,node,start,end
form start,,1639286866342,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639286866343,1639286867387
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639286867404,1639287979519
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639287979527,1639287983060
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639287983067,1639287989656
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639287989662,1639287996087
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639287996138,1639287999033
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639287999047,1639288023715
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639288023722,1639288043139
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639288043149,1639288045937
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639288045946,1639288051570
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639288051578,1639288055554
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639288055561,1639288066280
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639288066286,1639288075354
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639288075364,1639288084910
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639288084918,1639288086568
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639288086577,1639288103971
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639288103978,1639288117274
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639288117283,1639288119186
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639288119193,1639288137469
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639288137476,1639288139060
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639288139067,1639288142929
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639288142936,1639288159815
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639288159822,1639288170751
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639288170760,1639288176079
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639288176087,1639288177481
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639288177490,1639288204352
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639288204362,1639288239028
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639288239034,1639288251406
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639288251414,1639288254534
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639288254540,1639288261249
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639288261256,1639288262696
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1639288262704,1639288265019
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639288265027,1639288266642
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/total_mem_confirm,1639288266650,1639288273176
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639288273184,1639288273998
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1639288274005,1639288274614
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639288274622,1639288275186
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639288275195,1639288275742
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639288275750,1639288276376
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639288276384,1639288277296
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639288277305,1639288280662
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639288280670,1639288286241
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639288286250,1639288287054
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639288287062,1639288287511
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639288287519,1639288288244
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639288288253,1639288288853
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639288288862,1639288289694
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1639288289701,1639288290569
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639288290577,1639288291605
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1639288291614,1639288301429
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1639288301435,1639288304149
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1639288304155,1639288308791
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_walking,1639288308797,1639288311630
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1639288311638,1639288319056
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1639288319063,1639288321960
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1639288321968,1639288327815
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1639288327823,1639288350980
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1639288350988,1639288354639
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/move_intention,1639288354646,1639288357298
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected,1639288357305,1639288360160
