event,node,start,end
form start,,1639374686101,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639374686103,1639374687299
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639374687307,1639374688588
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639374688597,1639374690629
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639374690638,1639374697691
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639374697703,1639374703420
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639374703467,1639374707900
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639374707953,1639374726121
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639374726134,1639375127431
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639375127442,1639375133179
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639375133193,1639375137374
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639375137385,1639375138805
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639375138817,1639375150531
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639375150542,1639375158908
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639375158920,1639375163871
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639375163883,1639375165570
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639375165583,1639375177679
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639375177690,1639375182159
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639375182170,1639375183774
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639375183788,1639375193183
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639375193196,1639375194849
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639375194859,1639375197198
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639375197209,1639375205193
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639375205204,1639375208224
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639375208236,1639375210389
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639375210401,1639375211722
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639375211733,1639375214137
