event, node, start, end
form start,,1639380770162,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639380770164,1639380781019
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639380781022,1639380804587
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/org[1]/organization,1639380804589,1639380806489
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/org[1]/assessment_code,1639380806490,1639380823882
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/org[1]/province,1639380823883,1639380927781
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/org[1]/district,1639380927782,1639380930263
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/org[1]/village,1639380930265,1639380950077
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/org[1]/gps,1639380950078,1639380952915
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/org[1]/village,1639380952916,1639380953606
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/org[1]/gps,1639380953607,1639381046154
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/org[1]/date_assessment,1639381046155,1639381050094
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/org[1]/interviewer_name,1639381050097,1639381053884
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_details[1]/hh_note,1639381053885,1639381054792
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_details[1]/name,1639381054793,1639381060476
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_details[1]/father_name,1639381060477,1639381065553
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_details[1]/respondent_age,1639381065554,1639381072608
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_details[1]/respondent_gender,1639381072609,1639381074154
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_details[1]/contact_num,1639381074155,1639381081973
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_details[1]/sec_contact_num,1639381081974,1639381085520
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_details[1]/id_type,1639381085521,1639381087909
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_details[1]/id_type_other,1639381087911,1639381090985
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_details[1]/nid_no,1639381090986,1639381101842
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_details[1]/respondent_hohh,1639381101843,1639381105592
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/hh_mem,1639381105593,1639381107610
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/new_born_female,1639381107610,1639381137662
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/new_born_male,1639381137663,1639381147196
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/girls_5,1639381147197,1639381150108
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/boys_5,1639381150108,1639381152344
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/girls_6_17,1639381152345,1639381154476
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/boys_6_17,1639381154477,1639381162224
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/adult_18_59_female,1639381162225,1639381163952
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/adult_18_59_male,1639381163953,1639381165244
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/elders_60_abv_female,1639381165245,1639381166384
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/elders_60_abv_male,1639381166385,1639381167695
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/child_under2,1639381167696,1639381177856
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/p_l_w,1639381177857,1639381182135
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_vuln_factors[1]/diff_seeing,1639381182135,1639381183029
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/p_l_w,1639381183030,1639381185786
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/child_under2,1639381185787,1639381186321
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/p_l_w,1639381186322,1639381186759
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_vuln_factors[1]/diff_seeing,1639381186760,1639381197890
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_vuln_factors[1]/diff_hearing,1639381197891,1639381200575
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_vuln_factors[1]/diff_walking,1639381200576,1639381203792
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_vuln_factors[1]/diff_remembering,1639381203793,1639381216530
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_vuln_factors[1]/hhh_diff_remembering,1639381216531,1639381219152
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_vuln_factors[1]/diff_self_care,1639381219153,1639381223053
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_vuln_factors[1]/diff_communicating,1639381223054,1639381226819
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_vuln_factors[1]/heatlh_issue,1639381226820,1639381241037
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement[1]/current_status,1639381241038,1639381242932
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement[1]/move_intention,1639381242933,1639381247497
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact[1]/event_affected,1639381247498,1639381252276
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact[1]/event_affected_o,1639381252277,1639381265186
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact[1]/loss_family_member,1639381265187,1639381271265
question,/ameM9v8nctyy8MRHMJfRX7/assistance[1]/assist_received,1639381271266,1639381290853
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies[1]/insuff_food,1639381290855,1639381299206
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies[1]/sold_asset,1639381299207,1639381304641
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies[1]/seek_employment,1639381304642,1639381310304
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies[1]/working,1639381310306,1639381310990
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies[1]/seek_employment,1639381310990,1639381312222
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies[1]/working,1639381312223,1639381316620
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies[1]/borrow,1639381316621,1639381323348
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies[1]/medical_attention,1639381323349,1639381326072
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies[1]/early_marry,1639381326073,1639381332342
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs[1]/hh_eat_note,1639381332343,1639381333448
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs[1]/cereal,1639381333449,1639381337182
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs[1]/pulse,1639381337183,1639381347768
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs[1]/vegetable,1639381347769,1639381356816
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs[1]/fruit,1639381356817,1639381359042
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs[1]/meat,1639381359043,1639381361942
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs[1]/dairy,1639381361943,1639381364633
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs[1]/sugar,1639381364634,1639381368131
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs[1]/oil,1639381368131,1639381373744
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs[1]/condiment,1639381373745,1639381375707
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs[1]/hh_had_to_note,1639381375708,1639381376892
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs[1]/less_food,1639381376892,1639381395926
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs[1]/borrow_food,1639381395927,1639381408076
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs[1]/less_food,1639381408077,1639381408484
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs[1]/borrow_food,1639381408485,1639381424020
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs[1]/limit_mealtime,1639381424021,1639381431186
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs[1]/restrict_consumption,1639381431187,1639381434873
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs[1]/reduce_meal,1639381434874,1639381443970
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs[1]/childs_health,1639381443971,1639381456096
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs[1]/shelter_type,1639381456098,1639381457952
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs[1]/shelter_resident,1639381457952,1639381461609
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs[1]/tenure_status,1639381461610,1639381463536
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs[1]/shelter_concern,1639381463537,1639381482104
