event,node,start,end
form start,,1638861680969,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1638861680970,1638861682971
question,/ameM9v8nctyy8MRHMJfRX7/consent,1638861682980,1638861684571
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1638861684581,1638861685765
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1638861685774,1638861692605
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1638861692613,1638861695066
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1638861695110,1638861700037
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1638861700080,1638861715705
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1638861715714,1638861753194
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1638861753201,1638861756192
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1638861756200,1638861764405
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1638861764413,1638861765464
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1638861765471,1638861781322
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1638861781330,1638861792791
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1638861792800,1638861799413
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1638861799422,1638861801398
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1638861801407,1638861811265
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1638861811273,1638861819323
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1638861819330,1638861820916
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1638861820925,1638861832610
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1638861832618,1638861835705
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1638861835712,1638861846462
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638861846471,1638861853695
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638861853703,1638861874181
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638861874189,1638861876242
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638861876251,1638861879353
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638861879361,1638861882207
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1638861882215,1638861890816
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1638861890824,1638861893393
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1638861893401,1638861894870
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1638861894878,1638861901184
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1638861901190,1638861902510
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1638861902517,1638861905496
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1638861905503,1638861910701
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1638861910708,1638861925310
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1638861925319,1638861929864
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1638861929872,1638861931965
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1638861931975,1638861939731
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1638861939740,1638861944036
