event,node,start,end
form start,,1639379757624,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639379757625,1639379758667
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639379758674,1639379759973
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639379759984,1639379761232
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639379761238,1639379764566
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639379764574,1639379768025
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639379768093,1639379770114
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639379770147,1639379780818
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639379780826,1639379901368
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639379901376,1639379903525
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639379903534,1639379906148
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639379906156,1639379906992
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639379907001,1639379913526
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639379913534,1639379924874
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639379924882,1639379957312
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639379957321,1639379961097
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639379961106,1639379979772
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639379979781,1639380008542
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639380008551,1639380010362
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639380010375,1639380030801
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639380030808,1639380033926
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/HHH_name,1639380033933,1639380049803
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/HHH_father_name,1639380049810,1639380062311
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hhh_gender,1639380062320,1639380064267
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/HHH_age,1639380064275,1639380066381
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639380066388,1639380081722
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639380081729,1639380135722
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639380135732,1639380139574
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639380139583,1639380140886
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639380140895,1639380142457
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639380142464,1639380147487
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639380147494,1639380169480
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639380169487,1639380170950
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639380170958,1639380172187
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639380172194,1639380173315
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639380173323,1639380174543
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1639380174551,1639380175955
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639380175962,1639380177208
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1639380177216,1639380178889
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1639380178897,1639380184219
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1639380184228,1639380188146
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1639380188156,1639380190511
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_remembering,1639380190521,1639380193268
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1639380193281,1639380195133
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1639380195144,1639380197038
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1639380197047,1639380199101
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1639380199113,1639380208885
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_province,1639380208895,1639380213088
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_district,1639380213118,1639380214943
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displacement_duration,1639380214977,1639380216590
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/move_intention,1639380216599,1639380217951
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected,1639380217961,1639380219648
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/loss_family_member,1639380219657,1639380221269
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_received,1639380221278,1639380222924
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/insuff_food,1639380222933,1639380224164
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/sold_asset,1639380224173,1639380226487
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/seek_employment,1639380226498,1639380228859
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/working,1639380228868,1639380231216
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/borrow,1639380231227,1639380234316
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/medical_attention,1639380234328,1639380235999
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/early_marry,1639380236008,1639380237598
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_eat_note,1639380237605,1639380238524
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/cereal,1639380238532,1639380243323
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/pulse,1639380243332,1639380250358
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/vegetable,1639380250366,1639380253901
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/fruit,1639380253910,1639380255472
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/meat,1639380255484,1639380257611
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/dairy,1639380257618,1639380259048
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/sugar,1639380259055,1639380260852
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/oil,1639380260860,1639380262340
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/condiment,1639380262348,1639380264594
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_had_to_note,1639380264604,1639380265629
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/less_food,1639380265636,1639380269292
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/borrow_food,1639380269300,1639380272016
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/limit_mealtime,1639380272022,1639380273845
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/restrict_consumption,1639380273853,1639380275475
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/reduce_meal,1639380275482,1639380278132
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/childs_health,1639380278140,1639380285567
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_type,1639380285579,1639380288258
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_resident,1639380288267,1639380290748
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/tenure_status,1639380290755,1639380303457
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_concern,1639380303465,1639380309649
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/nfi_need,1639380309659,1639380323595
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_access,1639380323606,1639380324389
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/nfi_need,1639380324398,1639380330330
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_access,1639380330340,1639380331675
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_source,1639380331684,1639380333756
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_far_distance,1639380333764,1639380334766
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/latrine_access,1639380334777,1639380336129
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/latrine_disability_friendly,1639380336138,1639380345639
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/handwashing_facilities,1639380345649,1639380347410
question,/ameM9v8nctyy8MRHMJfRX7/health/health_fac_2hours,1639380347421,1639380348596
question,/ameM9v8nctyy8MRHMJfRX7/health/health_barriers,1639380348609,1639380351722
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/debt_amount,1639380351732,1639380467646
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/debt_expenditure,1639380467655,1639380470487
