event,node,start,end
form start,,1638340110605,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1638340110606,1638340112768
question,/ameM9v8nctyy8MRHMJfRX7/consent,1638340112789,1638340114166
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1638340114177,1638340129609
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1638340129627,1638340135077
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1638340135097,1638340142822
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1638340142860,1638340156435
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1638340156458,1638340179568
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1638340179585,1638340180310
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1638340180325,1638340182746
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1638340182760,1638340189005
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1638340189020,1638340189796
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1638340189809,1638340209654
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1638340209669,1638340229960
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1638340229975,1638340245346
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1638340245362,1638340247173
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1638340247194,1638340259718
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1638340259733,1638340263102
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1638340263121,1638340264969
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1638340264998,1638340277687
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1638340277701,1638340279830
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1638340279847,1638340285682
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638340285695,1638340312944
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638340312959,1638340330997
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638340331011,1638340343457
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638340343472,1638340353712
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638340353728,1638340359389
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1638340359403,1638340361440
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638340361454,1638340363107
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1638340363123,1638340364598
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1638340364611,1638340371759
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1638340371773,1638340377386
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1638340377399,1638340378953
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1638340378966,1638340380412
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1638340380425,1638340384137
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1638340384150,1638340386163
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1638340386177,1638340388581
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1638340388597,1638340391173
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1638340391189,1638340393415
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1638340393430,1638340395708
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1638340395723,1638340404287
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1638340404306,1638340419660
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1638340419677,1638340432815
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1638340432832,1638340439689
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1638340439712,1638340442765
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1638340442781,1638340448366
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1638340448382,1638340479928
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1638340479947,1638340484862
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/move_intention,1638340484876,1638340489705
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected,1638340489720,1638340493790
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected_o,1638340493805,1638340502391
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/loss_family_member,1638340502406,1638340505643
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_received,1638340505659,1638340509936
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/insuff_food,1638340509951,1638340518686
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/sold_asset,1638340518700,1638340542787
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/seek_employment,1638340542809,1638340553970
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/working,1638340553989,1638340561515
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/borrow,1638340561529,1638340564115
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/medical_attention,1638340564132,1638340582246
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/early_marry,1638340582259,1638340584894
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_eat_note,1638340584910,1638340585870
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/cereal,1638340585883,1638340588306
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/pulse,1638340588320,1638340599312
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/vegetable,1638340599327,1638340603772
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/fruit,1638340603785,1638340606356
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/meat,1638340606371,1638340607798
