event,node,start,end
form start,,1638436560608,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1638436560608,1638436561662
question,/ameM9v8nctyy8MRHMJfRX7/consent,1638436561669,1638436563271
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1638436563277,1638436564915
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1638436564923,1638436577201
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1638436577210,1638436588553
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1638436588605,1638436591736
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1638436591777,1638436599800
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1638436599809,1638436631088
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1638436631096,1638436634618
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1638436634627,1638436641385
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1638436641393,1638436642597
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1638436642605,1638436650309
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1638436650317,1638436662417
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1638436662425,1638436671690
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1638436671698,1638436673779
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1638436673789,1638436674753
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1638436674761,1638436677238
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1638436677248,1638436693776
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1638436693782,1638436711103
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1638436711111,1638436735801
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1638436735811,1638436789683
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1638436789691,1638436792607
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1638436792617,1638436795976
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638436795984,1638436808509
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638436808516,1638436810136
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638436810144,1638436817643
