event,node,start,end
form start,,1639390118639,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639390118641,1639390120331
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639390120350,1639390122821
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639390122829,1639390124713
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639390124720,1639390131352
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639390131359,1639390134663
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639390134700,1639390137047
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639390137062,1639390145320
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639390145329,1639390146454
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639390146462,1639390149069
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639390149077,1639390152335
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639390152343,1639390153399
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639390153407,1639390161666
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639390161674,1639390177165
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639390177174,1639390222237
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639390222245,1639390224296
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639390224305,1639390249412
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639390249420,1639390254901
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639390254909,1639390304272
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639390304283,1639390323142
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639390323152,1639390328098
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639390328106,1639390336091
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639390336099,1639390342897
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639390342905,1639390365454
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639390365463,1639390367787
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639390367796,1639390369791
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639390369799,1639390375032
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639390375042,1639390376490
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639390376497,1639390379381
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639390379388,1639390380684
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639390380691,1639390382062
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639390382069,1639390383958
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1639390383966,1639390394098
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639390394106,1639390401893
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1639390401901,1639390416292
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1639390416300,1639390419754
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_hearing,1639390419761,1639390421631
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1639390421639,1639390425116
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1639390425125,1639390426413
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1639390426422,1639390427648
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1639390427656,1639390428928
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1639390428936,1639390431224
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1639390431232,1639390432772
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1639390432780,1639390435242
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1639390435249,1639390437971
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_province,1639390437979,1639390443415
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_district,1639390443440,1639390446404
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displacement_duration,1639390446416,1639390448535
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/move_intention,1639390448543,1639390453440
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected,1639390453447,1639390463155
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/loss_family_member,1639390463164,1639390476761
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_received,1639390476769,1639390483644
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/insuff_food,1639390483652,1639390485524
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_eat_note,1639390485534,1639390547905
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/cereal,1639390547913,1639390550866
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/pulse,1639390550875,1639390552933
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/vegetable,1639390552941,1639390556853
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/fruit,1639390556863,1639390559431
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/meat,1639390559439,1639390561797
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/dairy,1639390561805,1639390564205
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/sugar,1639390564214,1639390566557
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/oil,1639390566571,1639390568748
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/condiment,1639390568755,1639390571092
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_had_to_note,1639390571099,1639390572329
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/less_food,1639390572339,1639390576546
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/borrow_food,1639390576555,1639390579976
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/limit_mealtime,1639390579983,1639390582877
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/restrict_consumption,1639390582885,1639390586172
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/reduce_meal,1639390586180,1639390590210
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/childs_health,1639390590218,1639390598487
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_type,1639390598495,1639390600650
