event,node,start,end
form start,,1638441216454,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1638441216455,1638441217699
question,/ameM9v8nctyy8MRHMJfRX7/consent,1638441217706,1638441219477
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1638441219484,1638441222021
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1638441222027,1638441231203
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1638441231209,1638441238379
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1638441238439,1638441241235
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1638441241245,1638441263172
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1638441263179,1638441288045
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1638441288051,1638441293871
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1638441293878,1638441306516
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1638441306523,1638441309720
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1638441309727,1638441326754
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1638441326761,1638441362888
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1638441362895,1638441370370
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1638441370377,1638441371899
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1638441371907,1638441375649
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1638441375655,1638441377920
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1638441377926,1638441379612
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1638441379619,1638441380619
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1638441380626,1638441383359
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1638441383365,1638441385110
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1638441385117,1638441405815
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1638441405822,1638441412105
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1638441412113,1638441414203
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1638441414210,1638441454677
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1638441454685,1638441458018
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1638441458026,1638441465951
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638441465958,1638441513127
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638441513134,1638441564346
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638441564353,1638441568596
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638441568603,1638441570757
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638441570764,1638441612111
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638441612119,1638441621088
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638441621095,1638441624220
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1638441624226,1638441651178
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1638441651184,1638441659807
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1638441659814,1638441661834
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1638441661840,1638441664779
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1638441664786,1638441666145
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1638441666152,1638441678419
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1638441678426,1638441680528
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/total_mem_confirm,1638441680535,1638441689681
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1638441689688,1638441690756
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1638441690763,1638441691864
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1638441691871,1638441692848
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1638441692855,1638441705709
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1638441705716,1638441709086
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1638441709094,1638441710044
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1638441710051,1638441711268
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638441711275,1638441713117
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638441713124,1638441713929
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638441713935,1638441715263
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638441715269,1638441719439
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638441719445,1638441722050
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638441722056,1638441725112
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638441725119,1638441735212
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638441735218,1638441737285
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638441737292,1638441738685
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638441738692,1638441740227
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638441740234,1638441743468
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638441743475,1638441744763
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638441744770,1638441745910
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638441745917,1638441748285
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638441748293,1638441758179
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1638441758186,1638441760175
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1638441760182,1638441761076
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1638441761082,1638441762068
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638441762075,1638441763966
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638441763973,1638441768129
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638441768136,1638441777013
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638441777019,1638441804710
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638441804718,1638441806322
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1638441806329,1638441817606
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638441817613,1638441818615
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638441818622,1638441819519
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638441819525,1638441820611
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638441820617,1638441823224
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638441823230,1638441824537
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1638441824543,1638441825771
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638441825778,1638441827032
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638441827038,1638441828817
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638441828823,1638441831789
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638441831795,1638441833137
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638441833143,1638441845360
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638441845367,1638441846417
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638441846424,1638441847737
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638441847744,1638441848845
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638441848852,1638441849853
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1638441849860,1638441850870
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1638441850877,1638441851885
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1638441851892,1638441853085
