event,node,start,end
form start,,1639459439837,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639459439841,1639459440774
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639459440788,1639459442374
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639459442385,1639459447723
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639459447737,1639459476867
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639459476883,1639459481232
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639459481309,1639459487771
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639459487810,1639459497821
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639459497850,1639459594814
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639459594824,1639459597883
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639459597894,1639459604059
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639459604068,1639459605154
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639459605165,1639459619235
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639459619243,1639459683126
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639459683134,1639459687065
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639459687073,1639459689558
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639459689567,1639459699974
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639459699982,1639459739859
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639459739868,1639459741867
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639459741877,1639459767399
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639459767408,1639459769125
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639459769138,1639459812919
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639459812928,1639459858781
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639459858791,1639459860743
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639459860756,1639459863898
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639459863906,1639459867792
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639459867800,1639459868488
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639459868497,1639459872008
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639459872018,1639459874346
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639459874355,1639459874937
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639459874948,1639459875973
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639459875982,1639459876634
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639459876643,1639459877580
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639459877589,1639459878267
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639459878277,1639459878725
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639459878735,1639459879429
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639459879439,1639459880187
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639459880197,1639459881594
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639459881602,1639459881978
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639459881990,1639459882685
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639459882694,1639459883051
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639459883060,1639459884731
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639459884740,1639459888310
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639459888318,1639459889761
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639459889770,1639459890173
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639459890182,1639459891239
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639459891258,1639459892334
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639459892343,1639459893235
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639459893244,1639459895112
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639459895121,1639459897170
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639459897178,1639459901048
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639459901057,1639459902360
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639459902370,1639459903940
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639459903948,1639459905430
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1639459905439,1639459908281
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639459908289,1639459909755
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1639459909764,1639459920441
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1639459920451,1639459926842
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1639459926854,1639459930336
