event,node,start,end
form start,,1639469582053,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639469582054,1639469582943
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639469582950,1639469584377
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639469584389,1639469586033
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639469586046,1639469591631
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639469591642,1639469595818
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639469595855,1639469598159
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639469598175,1639469604138
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639469604150,1639469656977
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639469656987,1639469660446
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639469660457,1639469667375
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639469667388,1639469668764
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639469668776,1639469690161
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639469690171,1639469709077
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639469709087,1639469728243
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639469728254,1639469730998
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639469731011,1639469749819
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639469749830,1639469760471
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639469760481,1639469765646
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639469765655,1639469769351
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639469769362,1639469772709
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639469772720,1639469790272
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639469790281,1639469794478
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639469794487,1639469843852
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639469843861,1639469861013
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639469861023,1639469862792
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639469862801,1639469868609
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639469868618,1639469870565
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639469870575,1639469878305
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639469878322,1639469884343
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639469884353,1639469887494
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639469887504,1639469890109
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639469890120,1639469891825
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639469891836,1639469893577
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1639469893590,1639469909473
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639469909483,1639469911728
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1639469911739,1639469915142
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1639469915153,1639469919551
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1639469919564,1639469923929
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1639469923942,1639469926126
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1639469926139,1639469930040
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1639469930050,1639469935849
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1639469935860,1639469937999
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1639469938010,1639469940978
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/move_intention,1639469940990,1639469943617
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected,1639469943629,1639469950859
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/loss_family_member,1639469950869,1639469962489
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_received,1639469962500,1639469966319
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/insuff_food,1639469966332,1639469968971
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/sold_asset,1639469968983,1639469977106
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/seek_employment,1639469977117,1639469978048
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/sold_asset,1639469978060,1639469980704
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/seek_employment,1639469980717,1639469999342
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/working,1639469999352,1639470012230
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/borrow,1639470012243,1639470016033
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/medical_attention,1639470016055,1639470020657
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/early_marry,1639470020670,1639470023554
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_eat_note,1639470023566,1639470024751
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/cereal,1639470024763,1639470031864
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/pulse,1639470031888,1639470034869
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/vegetable,1639470034881,1639470039720
