event,node,start,end
form start,,1638946657680,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1638946657681,1638946658653
question,/ameM9v8nctyy8MRHMJfRX7/consent,1638946658675,1638946660403
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1638946660415,1638946662088
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1638946662102,1638946678510
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1638946678524,1638946682654
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1638946682679,1638946695758
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1638946695785,1638946787027
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1638946787037,1638946858192
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1638946858202,1638946862206
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1638946862218,1638946870564
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1638946870576,1638946872177
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1638946872185,1638946937846
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1638946937858,1638946972702
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1638946972713,1638946973509
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1638946973519,1638946977937
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1638946977946,1638947067131
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1638947067144,1638947070759
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1638947070769,1638947092256
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1638947092266,1638947120990
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1638947121001,1638947133722
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1638947133735,1638947162500
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1638947162510,1638947173800
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1638947173811,1638947204997
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638947205008,1638947212495
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638947212504,1638947217294
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638947217303,1638947221753
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638947221765,1638947225246
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638947225255,1638947252484
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638947252496,1638947256219
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638947256230,1638947271301
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1638947271312,1638947274252
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1638947274263,1638947280854
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1638947280867,1638947283185
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1638947283198,1638947286336
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1638947286349,1638947315393
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1638947315402,1638947356234
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1638947356246,1638947406000
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1638947406009,1638947428088
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1638947428096,1638947457388
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_hearing,1638947457399,1638947462992
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1638947463003,1638947479726
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1638947479736,1638947486173
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1638947486184,1638947489970
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1638947489980,1638947493165
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1638947493176,1638947499658
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1638947499670,1638947501257
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1638947501269,1638947505071
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1638947505082,1638947525295
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1638947525306,1638947553520
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1638947553529,1638947561312
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/move_intention,1638947561323,1638947594938
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected,1638947594946,1638947630550
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/loss_family_member,1638947630561,1638947642122
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_received,1638947642130,1638947656046
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/loss_family_member,1638947656057,1638947657306
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_received,1638947657317,1638947663760
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/insuff_food,1638947663769,1638947665181
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_received,1638947665193,1638947666410
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_when,1638947666420,1638947672080
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_received,1638947672089,1638947675834
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_when,1638947675845,1638947678870
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_type,1638947678881,1638947686205
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_when,1638947686217,1638947687499
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_received,1638947687509,1638947690708
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/insuff_food,1638947690718,1638947697319
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/sold_asset,1638947697327,1638947707446
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/insuff_food,1638947707454,1638947710290
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/sold_asset,1638947710300,1638947719034
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/seek_employment,1638947719042,1638947739733
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/working,1638947739743,1638947759473
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/borrow,1638947759483,1638947775370
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/working,1638947775379,1638947776324
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/borrow,1638947776334,1638947779881
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/medical_attention,1638947779890,1638947788075
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/early_marry,1638947788084,1638947801727
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_eat_note,1638947801737,1638947802887
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/cereal,1638947802898,1638947821214
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/pulse,1638947821225,1638947835778
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/vegetable,1638947835789,1638947847865
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/fruit,1638947847874,1638947852405
