event,node,start,end
form start,,1639462284436,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639462284437,1639462286364
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639462286371,1639462288217
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639462288223,1639462290158
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639462290166,1639462353245
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639462353252,1639462354206
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639462354212,1639462354738
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639462354745,1639462356139
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639462356145,1639462356888
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639462356894,1639462360504
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639462360564,1639462362588
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639462362597,1639462389181
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639462389188,1639462409818
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639462409825,1639462419253
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639462419260,1639462433212
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639462433218,1639462434573
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639462434580,1639462464999
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639462465006,1639462506435
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639462506443,1639462515111
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639462515118,1639462516285
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639462516292,1639462520585
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639462520593,1639462522407
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639462522414,1639462545763
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639462545769,1639462549642
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639462549648,1639462551052
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639462551058,1639462570347
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639462570353,1639462571929
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639462571935,1639462574609
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639462574615,1639462587199
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639462587206,1639462594812
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639462594818,1639462598754
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639462598760,1639462604618
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639462604625,1639462635364
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639462635372,1639462661027
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639462661035,1639462662076
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639462662083,1639462663090
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639462663097,1639462664600
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639462664607,1639462666307
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639462666314,1639462667142
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639462667148,1639462667895
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639462667902,1639462668757
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639462668764,1639462679101
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639462679108,1639462679824
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639462679831,1639462680517
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639462680524,1639462681228
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639462681241,1639462681947
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639462681954,1639462682706
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639462682713,1639462685881
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639462685888,1639462698849
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639462698856,1639462699798
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639462699804,1639462714815
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639462714823,1639462715692
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639462715698,1639462717386
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639462717392,1639462718336
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639462718343,1639462719314
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639462719320,1639462723749
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639462723755,1639462726823
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639462726830,1639462728891
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639462728897,1639462731154
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1639462731161,1639462741480
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/HHH_diff_seeing,1639462741491,1639462744080
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1639462744090,1639462744810
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/HHH_diff_seeing,1639462744817,1639462745884
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1639462745891,1639462751002
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1639462751010,1639462753200
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1639462753207,1639462755483
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1639462755490,1639462762930
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1639462762937,1639462765060
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1639462765067,1639462767595
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1639462767604,1639462769301
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1639462769308,1639462769924
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1639462769931,1639462770533
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1639462770541,1639462771199
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1639462771207,1639462771659
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1639462771668,1639462772959
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1639462772966,1639462776491
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1639462776499,1639462788876
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1639462788883,1639462795504
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_province,1639462795512,1639462799366
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_district,1639462799409,1639462801733
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displacement_duration,1639462801744,1639462804348
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/move_intention,1639462804355,1639462805916
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected,1639462805924,1639462808048
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/loss_family_member,1639462808055,1639462810359
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_received,1639462810368,1639462813148
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/insuff_food,1639462813155,1639462813866
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_received,1639462813873,1639462815201
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/insuff_food,1639462815208,1639462819349
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_eat_note,1639462819358,1639462820524
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/cereal,1639462820530,1639462822505
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_eat_note,1639462822511,1639462823295
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/insuff_food,1639462823302,1639462825065
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_received,1639462825072,1639462825767
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/insuff_food,1639462825776,1639462833418
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/sold_asset,1639462833425,1639462840600
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/insuff_food,1639462840607,1639462842203
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/sold_asset,1639462842210,1639462842916
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/seek_employment,1639462842922,1639462846318
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/working,1639462846325,1639462848244
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/borrow,1639462848256,1639462851772
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/medical_attention,1639462851778,1639462852618
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/borrow,1639462852625,1639462859105
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/medical_attention,1639462859118,1639462861045
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/early_marry,1639462861052,1639462863525
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_eat_note,1639462863532,1639462864559
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/cereal,1639462864566,1639462866183
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/pulse,1639462866190,1639462870875
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/vegetable,1639462870882,1639462878577
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/fruit,1639462878584,1639462880522
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/meat,1639462880529,1639462882133
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/dairy,1639462882140,1639462884388
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/sugar,1639462884395,1639462887536
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/oil,1639462887543,1639462889561
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/condiment,1639462889567,1639462892267
