event,node,start,end
form start,,1639293808168,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639293808169,1639293808695
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639293808702,1639293809967
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639293809975,1639293811335
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639293811343,1639293814436
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639293814443,1639293817836
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639293817896,1639293824362
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639293824398,1639293992160
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639293992169,1639294096914
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639294096923,1639294099012
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639294099022,1639294101728
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639294101736,1639294102747
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639294102755,1639294114620
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639294114629,1639294124697
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639294124710,1639294133931
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639294133939,1639294135201
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639294135210,1639294155347
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639294155355,1639294246208
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639294246217,1639294247738
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639294247747,1639294260756
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639294260764,1639294261884
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639294261894,1639294263714
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639294263722,1639294272547
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639294272555,1639294273866
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639294273875,1639294275555
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639294275564,1639294277025
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639294277034,1639294278121
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639294278130,1639294279081
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639294279094,1639294280661
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639294280669,1639294281813
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639294281821,1639294283092
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639294283100,1639294284504
