event,node,start,end
form start,,1639293348522,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639293348523,1639293349590
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639293349602,1639293360018
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639293360033,1639293362388
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639293362404,1639293370532
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639293370547,1639293400802
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639293400837,1639293404430
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639293404464,1639293443131
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639293443146,1639293469793
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639293469808,1639293476293
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639293476310,1639293486876
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639293486893,1639293488040
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639293488055,1639293517779
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639293517795,1639293549872
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639293549887,1639293553822
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639293553846,1639293555820
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639293555837,1639293575289
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639293575305,1639293593107
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639293593123,1639293596701
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639293596717,1639293607878
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639293607893,1639293610632
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639293610649,1639293613370
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639293613386,1639293647809
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639293647825,1639293663158
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639293663174,1639293670148
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639293670164,1639293671667
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639293671685,1639293691460
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639293691474,1639293710786
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639293710803,1639293713226
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639293713240,1639293717943
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639293717959,1639293719594
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639293719612,1639293721690
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1639293721708,1639293726381
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639293726397,1639293728187
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1639293728203,1639293733334
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639293733350,1639293734541
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1639293734556,1639293735422
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639293735436,1639293736519
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639293736532,1639293737357
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639293737370,1639293738580
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639293738593,1639293739731
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639293739743,1639293741047
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639293741061,1639293742270
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639293742282,1639293743210
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639293743224,1639293744177
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639293744194,1639293745059
