event,node,start,end
form start,,1638856328611,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1638856328615,1638856330645
question,/ameM9v8nctyy8MRHMJfRX7/consent,1638856330651,1638856331906
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1638856331909,1638856334046
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1638856334051,1638856342610
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1638856342615,1638856345967
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1638856346067,1638856348414
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1638856348510,1638856354270
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1638856354274,1638856409346
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1638856409353,1638856411611
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1638856411616,1638856415160
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1638856415167,1638856416037
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1638856416045,1638856441838
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1638856441848,1638856462135
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1638856462141,1638856463331
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1638856463335,1638856469243
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1638856469252,1638856481792
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1638856481800,1638856483154
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1638856483163,1638856510915
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1638856510921,1638856512078
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1638856512083,1638856513153
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1638856513158,1638856514668
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1638856514672,1638856519266
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1638856519271,1638856531539
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1638856531546,1638856533165
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1638856533170,1638856542368
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1638856542372,1638856548616
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1638856548622,1638856553895
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638856553904,1638856555454
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638856555459,1638856556748
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638856556753,1638856558217
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638856558226,1638856559775
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638856559781,1638856561884
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1638856561890,1638856564875
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1638856564880,1638856568826
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1638856568834,1638856570207
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1638856570211,1638856571623
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1638856571628,1638856573291
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1638856573298,1638856574793
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1638856574797,1638856577888
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1638856577896,1638856578918
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1638856578926,1638856580145
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1638856580152,1638856586370
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1638856586375,1638856587600
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1638856587605,1638856588818
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1638856588822,1638856590372
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1638856590379,1638856594997
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/move_intention,1638856595001,1638856596585
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected,1638856596590,1638856616004
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/loss_family_member,1638856616010,1638856618138
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_received,1638856618142,1638856623556
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/insuff_food,1638856623563,1638856627191
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_eat_note,1638856627204,1638856627993
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/cereal,1638856627997,1638856636047
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/pulse,1638856636053,1638856639912
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/vegetable,1638856639918,1638856649342
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/fruit,1638856649347,1638856651164
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/meat,1638856651169,1638856653555
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/dairy,1638856653558,1638856658399
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/sugar,1638856658406,1638856662910
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/oil,1638856662916,1638856667011
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/sugar,1638856667021,1638856667642
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/dairy,1638856667646,1638856668554
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/meat,1638856668561,1638856669210
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/fruit,1638856669215,1638856669817
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/vegetable,1638856669821,1638856670384
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/pulse,1638856670389,1638856671481
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/vegetable,1638856671487,1638856672907
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/fruit,1638856672911,1638856673663
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/meat,1638856673671,1638856674620
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/dairy,1638856674626,1638856675628
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/sugar,1638856675635,1638856676637
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/oil,1638856676642,1638856678880
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/condiment,1638856678885,1638856683379
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_had_to_note,1638856683384,1638856684400
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/less_food,1638856684405,1638856686533
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/borrow_food,1638856686539,1638856697594
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/limit_mealtime,1638856697599,1638856698795
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/borrow_food,1638856698800,1638856704198
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/limit_mealtime,1638856704206,1638856706951
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/restrict_consumption,1638856706955,1638856708936
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/reduce_meal,1638856708943,1638856715700
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_type,1638856715705,1638856721803
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_resident,1638856721810,1638856724136
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/tenure_status,1638856724140,1638856726712
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_concern,1638856726718,1638856729318
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/nfi_need,1638856729324,1638856733663
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_access,1638856733668,1638856735271
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_source,1638856735279,1638856741598
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_far_distance,1638856741606,1638856743078
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/latrine_access,1638856743083,1638856746805
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/latrine_disability_friendly,1638856746811,1638856748536
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/handwashing_facilities,1638856748540,1638856755669
question,/ameM9v8nctyy8MRHMJfRX7/health/health_fac_2hours,1638856755673,1638856757163
question,/ameM9v8nctyy8MRHMJfRX7/health/health_barriers,1638856757170,1638856760224
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/debt_amount,1638856760229,1638856779255
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/debt_expenditure,1638856779262,1638856781930
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/debt_amount,1638856781935,1638856798117
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/debt_expenditure,1638856798121,1638856803914
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/adult_working,1638856803919,1638856805779
question,/ameM9v8nctyy8MRHMJfRX7/protection/protection_question,1638856805784,1638856808792
question,/ameM9v8nctyy8MRHMJfRX7/protection/environmental_dangers,1638856808795,1638856815991
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod/assist_preference,1638856815997,1638856819418
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod/cash_safe_market,1638856819422,1638856821494
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod/feedback_preference,1638856821500,1638856825338
question,/ameM9v8nctyy8MRHMJfRX7/comment_box,1638856825342,1638857379396
end screen,,1638857379405,1638857386558
form save,,1638857387254,
form exit,,1638857387254,
form finalize,,1638857387254,

