event,node,start,end
form start,,1639463889165,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639463889166,1639463891794
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639463891818,1639463893500
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639463893506,1639463895234
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639463895249,1639463901668
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639463901679,1639463905878
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639463906033,1639463909006
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639463909023,1639463923024
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639463923031,1639463924462
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639463924476,1639463927642
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639463927667,1639463952908
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639463952928,1639463954417
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639463954429,1639463966185
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639463966194,1639463967293
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639463967304,1639463974279
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639463974301,1639463977383
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639463977405,1639463986944
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639463986959,1639464012282
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639464012293,1639464049727
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639464049756,1639464051799
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639464051811,1639464069757
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639464069767,1639464073873
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639464073883,1639464082549
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type_other,1639464082559,1639464088677
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639464088688,1639464111440
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639464111457,1639464113544
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639464113555,1639464116040
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639464116049,1639464127560
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639464127575,1639464129169
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639464129177,1639464131000
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639464131011,1639464132623
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639464132637,1639464134976
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639464134992,1639464140167
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639464140182,1639464141742
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639464141765,1639464142556
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639464142569,1639464145430
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639464145440,1639464146026
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639464146035,1639464152419
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639464152429,1639464168745
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639464168756,1639464170365
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639464170377,1639464171939
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639464171946,1639464174322
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1639464174332,1639464177306
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1639464177317,1639464178816
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1639464178825,1639464180277
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1639464180290,1639464181765
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1639464181774,1639464186729
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1639464186742,1639464188054
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1639464188072,1639464190901
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1639464190914,1639464195737
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/move_intention,1639464195743,1639464197577
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected,1639464197585,1639464202408
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected_o,1639464202418,1639464207714
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/loss_family_member,1639464207726,1639464211737
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_received,1639464211744,1639464213475
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/loss_family_member,1639464213483,1639464217902
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_received,1639464217911,1639464221018
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/insuff_food,1639464221028,1639464223255
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/sold_asset,1639464223267,1639464225508
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/seek_employment,1639464225516,1639464228423
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/working,1639464228437,1639464231194
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/borrow,1639464231204,1639464233241
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/medical_attention,1639464233252,1639464234630
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/borrow,1639464234649,1639464238716
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/medical_attention,1639464238728,1639464242246
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/early_marry,1639464242252,1639464244425
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_eat_note,1639464244439,1639464245514
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/cereal,1639464245520,1639464247871
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/pulse,1639464247880,1639464250064
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/vegetable,1639464250077,1639464252395
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/fruit,1639464252404,1639464321384
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/meat,1639464321399,1639464323123
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/dairy,1639464323134,1639464325495
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/sugar,1639464325509,1639464328534
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/oil,1639464328543,1639464330802
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/condiment,1639464330811,1639464332749
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_had_to_note,1639464332763,1639464335604
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/less_food,1639464335623,1639464339125
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/borrow_food,1639464339135,1639464342277
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/limit_mealtime,1639464342282,1639464344873
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/restrict_consumption,1639464344880,1639464436324
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/reduce_meal,1639464436339,1639464465516
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_type,1639464465533,1639464470279
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_resident,1639464470287,1639464473345
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/tenure_status,1639464473355,1639464487856
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_concern,1639464487873,1639464493266
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_concern_o,1639464493275,1639464571757
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/nfi_need,1639464571776,1639464601671
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_access,1639464601693,1639464751225
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_source,1639464751246,1639464772102
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_far_distance,1639464772113,1639464774432
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/latrine_access,1639464774443,1639464780950
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/handwashing_facilities,1639464780959,1639464782810
question,/ameM9v8nctyy8MRHMJfRX7/health/health_fac_2hours,1639464782822,1639464786290
question,/ameM9v8nctyy8MRHMJfRX7/health/health_barriers,1639464786303,1639464792354
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/debt_amount,1639464792369,1639464814260
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/debt_expenditure,1639464814274,1639464831792
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/adult_working,1639464831805,1639464834103
question,/ameM9v8nctyy8MRHMJfRX7/protection/protection_question,1639464834113,1639464849260
question,/ameM9v8nctyy8MRHMJfRX7/protection/environmental_dangers,1639464849277,1639464886913
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod/assist_preference,1639464886935,1639464889920
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod/cash_safe_market,1639464889932,1639464892156
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod/feedback_preference,1639464892165,1639464893865
question,/ameM9v8nctyy8MRHMJfRX7/comment_box,1639464893874,1639464916290
end screen,,1639464916295,1639464917386
question,/ameM9v8nctyy8MRHMJfRX7/comment_box,1639464917388,1639464966208
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod/feedback_preference,1639464966215,1639465046570
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod/cash_safe_market,1639465046593,1639465056495
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod/feedback_preference,1639465056513,1639465057614
question,/ameM9v8nctyy8MRHMJfRX7/comment_box,1639465057632,1639465063198
end screen,,1639465063207,1639465072656
question,/ameM9v8nctyy8MRHMJfRX7/comment_box,1639465072657,1639465074422
end screen,,1639465074434,1639465084095
form save,,1639465084742,
form exit,,1639465084742,
form finalize,,1639465084742,

