event,node,start,end
form start,,1639035783807,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639035783807,1639035801195
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639035801208,1639035803056
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639035803064,1639035809003
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639035809013,1639035813749
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639035813759,1639035816301
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639035816337,1639035820305
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639035820335,1639035882863
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639035882871,1639036155384
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639036155392,1639036157671
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639036157679,1639036166285
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639036166293,1639036167478
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639036167486,1639036194801
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639036194809,1639036215995
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639036216004,1639036225057
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639036225066,1639036226892
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639036226900,1639036239846
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639036239855,1639036247946
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639036247955,1639036254752
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639036254761,1639036304407
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639036304416,1639036306067
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639036306075,1639036332359
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639036332367,1639036371801
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639036371809,1639036396323
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639036396334,1639036401002
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639036401009,1639036408552
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639036408560,1639036438231
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639036438240,1639036467959
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639036467968,1639036472596
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639036472607,1639036475682
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639036475690,1639036477517
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639036477526,1639036478826
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1639036478836,1639036481245
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639036481254,1639036482905
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1639036482915,1639036489403
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1639036489413,1639036497544
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1639036497552,1639036509380
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1639036509389,1639036516609
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_remembering,1639036516617,1639036518118
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1639036518126,1639036520871
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1639036520879,1639036522998
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1639036523008,1639036531108
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1639036531116,1639036535613
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_province,1639036535621,1639036538565
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_district,1639036538594,1639036591964
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_province,1639036592004,1639036592890
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_district,1639036592913,1639036593832
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displacement_duration,1639036593865,1639036596377
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/move_intention,1639036596385,1639036598637
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected,1639036598646,1639036604126
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/loss_family_member,1639036604135,1639036607137
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_received,1639036607145,1639036608672
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/insuff_food,1639036608681,1639036610626
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/sold_asset,1639036610635,1639036615614
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/seek_employment,1639036615622,1639036622628
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/working,1639036622637,1639036624363
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/borrow,1639036624374,1639036626482
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/medical_attention,1639036626491,1639036628559
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/early_marry,1639036628568,1639036630259
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_eat_note,1639036630270,1639036631276
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/cereal,1639036631285,1639036662074
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/pulse,1639036662083,1639036664017
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/vegetable,1639036664025,1639036665443
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/fruit,1639036665451,1639036666869
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/meat,1639036666877,1639036668804
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/dairy,1639036668812,1639036670028
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/meat,1639036670037,1639036670864
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/dairy,1639036670872,1639036680241
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/sugar,1639036680250,1639036681709
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/oil,1639036681718,1639036684912
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/condiment,1639036684921,1639036687947
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_had_to_note,1639036687957,1639036689506
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/condiment,1639036689514,1639036690282
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/oil,1639036690291,1639036692619
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/sugar,1639036692629,1639036695405
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/oil,1639036695413,1639036697190
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/sugar,1639036697198,1639036699058
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/oil,1639036699069,1639036699550
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/condiment,1639036699561,1639036700208
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_had_to_note,1639036700220,1639036701200
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/less_food,1639036701209,1639036703906
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/borrow_food,1639036703914,1639036708635
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/limit_mealtime,1639036708644,1639036710745
