event,node,start,end
form start,,1638945486398,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1638945486399,1638945487426
question,/ameM9v8nctyy8MRHMJfRX7/consent,1638945487436,1638945489318
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1638945489327,1638945491523
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1638945491533,1638945499905
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1638945499913,1638945504810
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1638945504866,1638945508063
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1638945508102,1638945529091
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1638945529100,1638945952136
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1638945952147,1638945975536
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1638945975547,1638946002942
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1638946002951,1638946003968
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1638946003976,1638946013736
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1638946013744,1638946026865
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1638946026874,1638946043405
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1638946043414,1638946046859
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1638946046867,1638946068838
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1638946068847,1638946105215
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1638946105224,1638946109486
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1638946109493,1638946141821
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1638946141830,1638946150923
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/HHH_name,1638946150932,1638946166242
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1638946166251,1638946189327
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1638946189338,1638946194581
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638946194590,1638946200605
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638946200614,1638946204132
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638946204142,1638946206101
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638946206111,1638946208303
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638946208312,1638946210639
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1638946210647,1638946213583
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1638946213592,1638946215435
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1638946215443,1638946217711
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1638946217720,1638946222099
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1638946222107,1638946225869
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1638946225877,1638946230248
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1638946230259,1638946237196
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1638946237205,1638946253629
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1638946253636,1638946257616
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1638946257624,1638946259001
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/HHH_diff_seeing,1638946259009,1638946269449
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1638946269458,1638946282390
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_hearing,1638946282398,1638946286777
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1638946286786,1638946299967
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1638946299975,1638946307548
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1638946307557,1638946319257
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_self_care,1638946319265,1638946325965
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1638946325974,1638946332150
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1638946332159,1638946344379
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1638946344389,1638946369592
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_province,1638946369604,1638946376666
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_district,1638946376702,1638946388130
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displacement_duration,1638946388165,1638946401976
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/move_intention,1638946401985,1638946411085
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected,1638946411094,1638946418553
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/loss_family_member,1638946418561,1638946425500
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_received,1638946425511,1638946430396
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/insuff_food,1638946430404,1638946439525
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/sold_asset,1638946439536,1638946453099
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/seek_employment,1638946453110,1638946454238
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/sold_asset,1638946454248,1638946455083
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/insuff_food,1638946455092,1638946463110
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/sold_asset,1638946463119,1638946464727
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/seek_employment,1638946464736,1638946482544
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/working,1638946482553,1638946489284
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/borrow,1638946489292,1638946495056
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/medical_attention,1638946495065,1638946498534
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/early_marry,1638946498543,1638946502945
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_eat_note,1638946502955,1638946503970
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/cereal,1638946503978,1638946513377
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/pulse,1638946513384,1638946518624
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/vegetable,1638946518631,1638946522894
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/fruit,1638946522902,1638946528190
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/meat,1638946528198,1638946529967
