event,node,start,end
form start,,1638858070454,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1638858070456,1638858071198
question,/ameM9v8nctyy8MRHMJfRX7/consent,1638858071203,1638858072439
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1638858072449,1638858073869
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1638858073879,1638858077894
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1638858077903,1638858082519
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1638858082542,1638858085157
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1638858085170,1638858090014
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1638858090023,1638858097322
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1638858097331,1638858100739
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1638858100749,1638858106124
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1638858106133,1638858107195
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1638858107205,1638858127387
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1638858127395,1638858135459
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1638858135468,1638858140520
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1638858140529,1638858142054
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1638858142063,1638858153273
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1638858153281,1638858161884
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1638858161892,1638858163450
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1638858163459,1638858175877
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1638858175886,1638858178326
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1638858178334,1638858181492
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638858181501,1638858189645
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638858189654,1638858193870
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638858193879,1638858195715
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638858195725,1638858196688
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638858196698,1638858199515
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638858199525,1638858200859
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638858200867,1638858202215
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1638858202223,1638858203461
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1638858203468,1638858205216
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1638858205225,1638858206700
