event,node,start,end
form start,,1639295821731,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639295821732,1639295822887
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639295822897,1639295824606
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639295824613,1639295826453
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639295826461,1639295835895
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639295835905,1639295840128
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639295840150,1639295848200
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639295848227,1639295851301
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639295851321,1639295853547
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639295853571,1639295857408
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639295857428,1639295873957
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639295873986,1639295881178
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639295881186,1639295889264
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639295889274,1639295892472
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639295892481,1639295900997
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639295901006,1639295902207
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639295902219,1639295916463
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639295916473,1639295929008
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639295929018,1639295934149
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639295934160,1639295936081
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639295936095,1639295951509
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639295951521,1639295960280
