event,node,start,end
form start,,1638789780569,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1638789780569,1638789781887
question,/ameM9v8nctyy8MRHMJfRX7/consent,1638789781893,1638789783124
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1638789783131,1638789784965
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1638789784974,1638789788472
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1638789788484,1638789791009
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1638789791052,1638789794242
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1638789794269,1638789812243
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1638789812255,1638789813890
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1638789813903,1638789816235
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1638789816248,1638789834901
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1638789834915,1638789835992
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1638789836004,1638789843936
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1638789843949,1638789857657
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1638789857670,1638789866054
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1638789866066,1638789867849
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1638789867866,1638789881496
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1638789881508,1638789889459
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1638789889472,1638789892456
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1638789892471,1638789903390
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1638789903400,1638789905955
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1638789905968,1638789910023
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638789910034,1638789912358
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638789912369,1638789913592
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638789913604,1638789915065
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638789915078,1638789916265
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638789916278,1638789917448
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1638789917461,1638789918738
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1638789918750,1638789920801
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1638789920813,1638789922057
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1638789922070,1638789923174
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1638789923186,1638789924332
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1638789924345,1638789925524
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1638789925537,1638789926549
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1638789926562,1638789932530
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1638789932542,1638789933747
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1638789933763,1638789935419
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_walking,1638789935434,1638789937000
