event,node,start,end
form start,,1639466194657,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639466194659,1639466195679
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639466195720,1639466197410
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639466197426,1639466199186
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639466199204,1639466205791
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639466205815,1639466209437
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639466209488,1639466211916
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639466211954,1639466225240
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639466225261,1639466251962
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639466251985,1639466256107
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639466256124,1639466262485
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639466262506,1639466263895
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639466263917,1639466277948
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639466277972,1639466295596
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639466295612,1639466301432
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639466301451,1639466310946
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639466310965,1639466320570
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639466320585,1639466326438
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639466326459,1639466328218
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639466328231,1639466337503
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639466337519,1639466339555
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639466339567,1639466363003
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639466363024,1639466387611
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639466387628,1639466389936
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639466389951,1639466391974
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639466391991,1639466394392
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639466394410,1639466397064
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639466397081,1639466398888
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639466398907,1639466400997
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639466401012,1639466403384
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639466403406,1639466406385
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639466406418,1639466407879
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1639466407901,1639466413497
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639466413516,1639466415692
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1639466415708,1639466421797
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1639466421815,1639466423402
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1639466423417,1639466424854
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1639466424870,1639466426282
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1639466426296,1639466427764
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1639466427781,1639466434626
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1639466434640,1639466483577
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1639466483597,1639466486648
