event,node,start,end
form start,,1638681680817,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1638681680822,1638681681724
question,/ameM9v8nctyy8MRHMJfRX7/consent,1638681681738,1638681683050
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1638681683061,1638681686205
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1638681686218,1638681690117
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1638681690130,1638681696833
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1638681696866,1638681701596
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1638681701624,1638681714827
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1638681714840,1638681746713
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1638681746724,1638681764735
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1638681764746,1638681789384
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1638681789401,1638681790226
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1638681790239,1638681865459
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1638681865471,1638681895884
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1638681895896,1638681901749
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1638681901762,1638681903109
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1638681903124,1638681913363
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1638681913376,1638681924366
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1638681924378,1638681926301
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1638681926314,1638681936486
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1638681936499,1638681937755
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1638681937768,1638681946523
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638681946536,1638681963893
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638681963905,1638681965879
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638681965892,1638681975739
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638681975752,1638681980995
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638681981007,1638681990588
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1638681990601,1638681992849
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1638681992862,1638681995202
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1638681995215,1638681997746
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1638681997759,1638681999056
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1638681999069,1638682000357
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1638682000370,1638682012128
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1638682012140,1638682013513
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/total_mem_confirm,1638682013527,1638682018668
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1638682018679,1638682020913
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1638682020923,1638682024333
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1638682024345,1638682024992
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1638682025002,1638682025609
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1638682025621,1638682026151
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/total_mem_confirm,1638682026167,1638682029497
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1638682029509,1638682029881
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1638682029898,1638682030748
