event,node,start,end
form start,,1639458090482,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639458090483,1639458091108
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639458091122,1639458092248
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639458092258,1639458093509
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639458093518,1639458103570
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639458103584,1639458105938
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639458105970,1639458108489
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639458108520,1639458119350
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639458119362,1639458120767
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639458120779,1639458122579
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639458122592,1639458127853
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639458127865,1639458128486
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639458128498,1639458136480
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639458136494,1639458147333
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639458147350,1639458204318
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639458204332,1639458205973
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639458205988,1639458214204
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639458214216,1639458217727
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639458217740,1639458219147
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639458219161,1639458226638
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639458226649,1639458228147
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639458228163,1639458255760
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639458255773,1639458261448
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639458261460,1639458264512
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639458264527,1639458266380
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639458266392,1639458267630
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639458267644,1639458268931
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639458268943,1639458269923
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639458269936,1639458271607
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639458271623,1639458272819
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639458272845,1639458273865
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639458273877,1639458275366
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1639458275378,1639458277866
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639458277880,1639458280425
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1639458280440,1639458281959
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1639458281975,1639458285587
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1639458285603,1639458286727
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1639458286740,1639458288019
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1639458288032,1639458289920
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1639458289933,1639458291687
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1639458291701,1639458296614
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1639458296627,1639458298080
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_province,1639458298092,1639458300481
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_district,1639458300509,1639458302523
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displacement_duration,1639458302554,1639458311976
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/move_intention,1639458311991,1639458313460
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected,1639458313475,1639458317920
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/loss_family_member,1639458317934,1639458321112
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_received,1639458321125,1639458322546
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/insuff_food,1639458322561,1639458323957
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/sold_asset,1639458323971,1639458326973
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/seek_employment,1639458326989,1639458329808
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/working,1639458329821,1639458332984
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/borrow,1639458332997,1639458334892
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/medical_attention,1639458334908,1639458337160
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/early_marry,1639458337174,1639458339176
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_eat_note,1639458339189,1639458340109
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/cereal,1639458340122,1639458341953
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/pulse,1639458341967,1639458427919
