event,node,start,end
form start,,1638874060459,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1638874060460,1638874061224
question,/ameM9v8nctyy8MRHMJfRX7/consent,1638874061231,1638874062429
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1638874062436,1638874063773
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1638874063780,1638874067458
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1638874067466,1638874071519
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1638874071582,1638874073700
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1638874073731,1638874093177
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1638874093185,1638874200246
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1638874200256,1638874202803
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1638874202811,1638874205468
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1638874205477,1638874206237
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1638874206244,1638874224394
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1638874224403,1638874237521
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1638874237529,1638874244690
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1638874244698,1638874247372
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1638874247384,1638874271238
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1638874271246,1638874291600
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1638874291609,1638874292945
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1638874292955,1638874312373
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1638874312381,1638874314520
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/HHH_name,1638874314530,1638874335962
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/HHH_father_name,1638874335974,1638874349415
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hhh_gender,1638874349426,1638874353902
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/HHH_age,1638874353911,1638874360862
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1638874360870,1638874370831
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638874370839,1638874401740
