event,node,start,end
form start,,1638771836307,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1638771836308,1638771837614
question,/ameM9v8nctyy8MRHMJfRX7/consent,1638771837628,1638771890076
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1638771890089,1638771893059
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1638771893071,1638771899861
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1638771899874,1638771905004
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1638771905031,1638771909606
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1638771909653,1638771917109
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1638771917121,1638771962776
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1638771962789,1638771968796
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1638771968809,1638771975555
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1638771975569,1638771976681
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1638771976692,1638772021634
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1638772021646,1638772031212
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1638772031223,1638772051613
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1638772051624,1638772053421
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1638772053434,1638772064033
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1638772064044,1638772071553
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1638772071564,1638772073036
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1638772073046,1638772086082
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1638772086094,1638772091716
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1638772091728,1638772095767
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638772095780,1638772108765
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638772108776,1638772121061
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638772121075,1638772126780
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638772126793,1638772131098
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638772131111,1638772139461
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1638772139474,1638772146188
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1638772146200,1638772149197
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1638772149209,1638772151114
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1638772151126,1638772155640
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1638772155653,1638772156349
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1638772156364,1638772162492
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1638772162502,1638772167303
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1638772167315,1638772172970
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1638772172982,1638772175121
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/total_mem_confirm,1638772175133,1638772177563
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1638772177576,1638772178588
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1638772178600,1638772179789
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1638772179801,1638772181123
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1638772181135,1638772182132
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1638772182144,1638772183932
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1638772183943,1638772184765
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1638772184782,1638772190516
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638772190530,1638772200230
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1638772200242,1638772225573
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638772225586,1638772226898
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1638772226911,1638772229290
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1638772229305,1638772230358
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1638772230370,1638772231024
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1638772231037,1638772231548
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1638772231557,1638772232008
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1638772232020,1638772232741
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1638772232751,1638772233475
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1638772233486,1638772234850
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1638772234861,1638772236568
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1638772236579,1638772247487
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1638772247500,1638772258351
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1638772258363,1638772261544
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1638772261557,1638772284873
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1638772284883,1638772286774
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1638772286785,1638772289875
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1638772289887,1638772305530
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1638772305543,1638772307738
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1638772307751,1638772314792
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1638772314805,1638772319636
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_communicating,1638772319648,1638772323494
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1638772323506,1638772335510
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1638772335521,1638772338143
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/move_intention,1638772338155,1638772342011
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected,1638772342025,1638772344812
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/loss_family_member,1638772344823,1638772353028
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_received,1638772353041,1638772375853
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/insuff_food,1638772375865,1638772402336
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/sold_asset,1638772402350,1638772426642
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/seek_employment,1638772426653,1638772431885
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/working,1638772431898,1638772435211
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/borrow,1638772435222,1638772447665
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/medical_attention,1638772447675,1638772466846
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/early_marry,1638772466857,1638772474861
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_eat_note,1638772474873,1638772477686
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/cereal,1638772477698,1638772489617
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/pulse,1638772489629,1638772497940
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/vegetable,1638772497952,1638772511151
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/fruit,1638772511162,1638772513201
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/meat,1638772513214,1638772515218
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/dairy,1638772515232,1638772517519
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/sugar,1638772517532,1638772521362
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/oil,1638772521373,1638772524320
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/condiment,1638772524333,1638772526361
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_had_to_note,1638772526373,1638772528170
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/less_food,1638772528182,1638772531073
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/borrow_food,1638772531083,1638772550249
