event,node,start,end
form start,,1638354513043,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1638354513044,1638354537056
question,/ameM9v8nctyy8MRHMJfRX7/consent,1638354537063,1638354539537
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1638354539543,1638354541113
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1638354541122,1638354548139
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1638354548145,1638354553244
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1638354553296,1638354555700
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1638354555710,1638354568450
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1638354568457,1638354589187
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1638354589200,1638354592303
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1638354592309,1638354607471
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1638354607477,1638354612854
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1638354612861,1638354634031
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1638354634037,1638354652366
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1638354652373,1638354666812
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1638354666819,1638354668663
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1638354668670,1638354679154
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1638354679160,1638354696801
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1638354696808,1638354699465
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1638354699475,1638354715964
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1638354715970,1638354721945
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1638354721951,1638354726129
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638354726135,1638354779861
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638354779874,1638354797492
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638354797498,1638354808163
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638354808170,1638354813336
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638354813343,1638354838600
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1638354838607,1638354868264
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1638354868271,1638354882764
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1638354882771,1638354892525
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1638354892531,1638354895343
