event,node,start,end
form start,,1638701045880,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1638701045881,1638701046641
question,/ameM9v8nctyy8MRHMJfRX7/consent,1638701046648,1638701047863
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1638701047870,1638701049156
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1638701049164,1638701052716
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1638701052723,1638701062476
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1638701062513,1638701065099
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1638701065131,1638701091696
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1638701091705,1638701180588
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1638701180597,1638701183296
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1638701183306,1638701198662
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1638701198670,1638701199597
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1638701199605,1638701225200
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1638701225209,1638701230756
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1638701230764,1638701260069
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1638701260076,1638701261088
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1638701261097,1638701262184
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1638701262191,1638701262851
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1638701262859,1638701264573
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1638701264580,1638701272812
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1638701272820,1638701280349
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1638701280356,1638701281995
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1638701282004,1638701301957
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1638701301964,1638701316865
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1638701316873,1638701320307
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1638701320314,1638701331002
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1638701331010,1638701336091
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1638701336105,1638701340402
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638701340410,1638701355678
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638701355685,1638701357073
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638701357081,1638701369749
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638701369757,1638701373935
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638701373944,1638701399863
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1638701399871,1638701410885
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1638701410893,1638701413735
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1638701413742,1638701418054
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1638701418060,1638701419508
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1638701419516,1638701420653
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1638701420661,1638701421797
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1638701421805,1638701437765
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1638701437776,1638701439871
