event,node,start,end
form start,,1633327165756,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1633327165758,1633327171436
question,/ameM9v8nctyy8MRHMJfRX7/consent,1633327171454,1633327172668
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1633327172676,1633327173960
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1633327173964,1633327181887
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1633327181890,1633327191347
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1633327191437,1633327194274
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1633327194344,1633327195993
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1633327195998,1633327217381
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1633327217423,1633327264390
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1633327264472,1633327266640
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1633327266659,1633327268026
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1633327268030,1633327269675
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1633327269680,1633327270901
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1633327270909,1633327274697
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1633327274704,1633327276029
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1633327276033,1633327279522
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1633327279527,1633327282791
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1633327282807,1633327284331
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1633327284339,1633327286028
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1633327286041,1633327287153
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1633327287158,1633327290007
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1633327290013,1633327291806
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1633327291811,1633327293110
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1633327293120,1633327294353
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1633327294360,1633327295448
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1633327295460,1633327297248
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1633327297255,1633327298382
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1633327298399,1633327299769
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1633327299789,1633327301132
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1633327301138,1633327302430
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1633327302439,1633327303826
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1633327303832,1633327306537
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/total_mem_confirm,1633327306552,1633327308567
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1633327308572,1633327309713
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1633327309720,1633327311982
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1633327311987,1633327312764
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1633327312774,1633327314223
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1633327314229,1633327315226
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1633327315231,1633327316109
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1633327316114,1633327317055
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1633327317069,1633327318071
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1633327318086,1633327319889
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1633327319896,1633327321131
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1633327321143,1633327322681
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1633327322686,1633327323505
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1633327323511,1633327324630
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_province,1633327324641,1633327327500
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_district,1633327327584,1633327329931
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displacement_duration,1633327329989,1633327331077
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/move_intention,1633327331083,1633327332216
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected,1633327332220,1633327334183
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/loss_family_member,1633327334198,1633327335204
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_received,1633327335208,1633327336612
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_when,1633327336618,1633327338689
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_received,1633327338699,1633327339904
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/insuff_food,1633327339911,1633327341789
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/sold_asset,1633327341797,1633327343468
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/seek_employment,1633327343483,1633327344624
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/working,1633327344629,1633327345705
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/borrow,1633327345715,1633327346860
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/medical_attention,1633327346869,1633327347976
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/early_marry,1633327347981,1633327351073
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_eat_note,1633327351078,1633327352024
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/cereal,1633327352028,1633327353928
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/pulse,1633327353939,1633327355689
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/vegetable,1633327355696,1633327357195
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/fruit,1633327357201,1633327358561
