event, node, start, end
form start,,1638857246810,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1638857246812,1638857362646
question,/ameM9v8nctyy8MRHMJfRX7/consent,1638857362648,1638857369959
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/org[1]/organization,1638857369960,1638857371295
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/org[1]/assessment_code,1638857371296,1638857376501
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/org[1]/province,1638857376502,1638857380237
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/org[1]/district,1638857380238,1638857383903
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/org[1]/village,1638857383904,1638857387884
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/org[1]/gps,1638857387885,1638857484565
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/org[1]/date_assessment,1638857484567,1638857487134
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/org[1]/interviewer_name,1638857487135,1638857494571
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_details[1]/hh_note,1638857494572,1638857495611
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_details[1]/name,1638857495612,1638857510522
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_details[1]/father_name,1638857510523,1638857540955
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_details[1]/respondent_age,1638857540956,1638857545428
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_details[1]/respondent_gender,1638857545429,1638857546944
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_details[1]/contact_num,1638857546945,1638857554951
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_details[1]/sec_contact_num,1638857554952,1638857555967
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_details[1]/contact_num,1638857555968,1638857557512
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_details[1]/sec_contact_num,1638857557513,1638857561520
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_details[1]/id_type,1638857561521,1638857563363
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_details[1]/nid_no,1638857563364,1638857582704
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_details[1]/respondent_hohh,1638857582705,1638857584644
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/hh_mem,1638857584645,1638857587119
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/new_born_female,1638857587119,1638857588859
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/new_born_male,1638857588860,1638857590292
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/girls_5,1638857590293,1638857591926
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/boys_5,1638857591927,1638857593327
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/girls_6_17,1638857593328,1638857598680
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/boys_6_17,1638857598681,1638857602507
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/adult_18_59_female,1638857602508,1638857611752
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/adult_18_59_male,1638857611753,1638857613323
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/elders_60_abv_female,1638857613324,1638857614590
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/elders_60_abv_male,1638857614591,1638857615855
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/p_l_w,1638857615855,1638857621273
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_vuln_factors[1]/diff_seeing,1638857621274,1638857633599
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_vuln_factors[1]/diff_hearing,1638857633600,1638857637465
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_vuln_factors[1]/diff_walking,1638857637466,1638857645220
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_vuln_factors[1]/diff_remembering,1638857645221,1638857654007
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_vuln_factors[1]/hhh_diff_remembering,1638857654009,1638857655185
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_vuln_factors[1]/diff_self_care,1638857655185,1638857659933
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_vuln_factors[1]/diff_communicating,1638857659934,1638857663557
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_vuln_factors[1]/heatlh_issue,1638857663558,1638857674182
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement[1]/current_status,1638857674183,1638857676435
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement[1]/move_intention,1638857676436,1638857678496
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact[1]/event_affected,1638857678497,1638857687423
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact[1]/loss_family_member,1638857687424,1638857691068
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact[1]/event_affected,1638857691069,1638857697018
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact[1]/event_affected_o,1638857697019,1638857701738
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact[1]/loss_family_member,1638857701739,1638857709625
question,/ameM9v8nctyy8MRHMJfRX7/assistance[1]/assist_received,1638857709626,1638857714569
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies[1]/insuff_food,1638857714570,1638857720975
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies[1]/sold_asset,1638857720976,1638857728621
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies[1]/seek_employment,1638857728622,1638857734368
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies[1]/working,1638857734368,1638857737794
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies[1]/borrow,1638857737795,1638857741662
