event,node,start,end
form start,,1638960141140,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1638960141144,1638960142357
question,/ameM9v8nctyy8MRHMJfRX7/consent,1638960142369,1638960144457
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1638960144465,1638960146505
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1638960146515,1638960154725
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1638960154734,1638960161320
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1638960161417,1638960165511
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1638960165523,1638960184320
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1638960184328,1638960185721
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1638960185729,1638960189335
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1638960189345,1638960210794
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1638960210804,1638960236146
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1638960236154,1638960246541
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1638960246550,1638960253615
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1638960253623,1638960280988
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1638960280997,1638960286335
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1638960286344,1638960315933
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1638960315943,1638960321231
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1638960321240,1638960323743
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1638960323755,1638960390058
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1638960390067,1638960395737
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1638960395745,1638960399943
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638960399951,1638960421728
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638960421737,1638960425574
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638960425582,1638960427386
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638960427394,1638960431519
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638960431529,1638960433937
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638960433946,1638960435683
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638960435691,1638960442942
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1638960442950,1638960445643
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1638960445653,1638960448264
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1638960448273,1638960449956
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1638960449964,1638960451904
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1638960451912,1638960467306
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1638960467314,1638960473676
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1638960473683,1638960476732
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1638960476741,1638960490264
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1638960490273,1638960491505
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1638960491513,1638960492808
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1638960492821,1638960494290
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1638960494299,1638960495590
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1638960495600,1638960496929
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1638960496937,1638960499522
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1638960499530,1638960502066
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_province,1638960502075,1638960513719
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_district,1638960513747,1638960518094
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displacement_duration,1638960518106,1638960524323
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/move_intention,1638960524332,1638960525207
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displacement_duration,1638960525215,1638960540672
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/move_intention,1638960540681,1638960544448
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected,1638960544457,1638960546596
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/loss_family_member,1638960546604,1638960549038
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_received,1638960549046,1638960563977
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_when,1638960563986,1638960569893
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_type,1638960569901,1638960574429
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/insuff_food,1638960574438,1638960576840
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_eat_note,1638960576849,1638960580692
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/cereal,1638960580700,1638960583437
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/pulse,1638960583445,1638960610328
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/vegetable,1638960610338,1638960619377
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/fruit,1638960619385,1638960632094
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/meat,1638960632104,1638960637990
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/dairy,1638960637998,1638960640447
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/sugar,1638960640456,1638960643882
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/oil,1638960643891,1638960653454
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/condiment,1638960653463,1638960655724
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_had_to_note,1638960655732,1638960668740
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/less_food,1638960668749,1638960677196
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/borrow_food,1638960677207,1638960679687
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/limit_mealtime,1638960679697,1638960682589
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/restrict_consumption,1638960682597,1638960685266
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/reduce_meal,1638960685274,1638960689196
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/childs_health,1638960689205,1638960703051
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_type,1638960703060,1638960705903
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_resident,1638960705910,1638960723474
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/tenure_status,1638960723483,1638960730502
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_concern,1638960730509,1638960735319
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/nfi_need,1638960735329,1638960741480
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_access,1638960741488,1638960748132
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_source,1638960748140,1638960751009
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_far_distance,1638960751017,1638960752813
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/latrine_access,1638960752821,1638960754985
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/latrine_disability_friendly,1638960754994,1638960758569
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/handwashing_facilities,1638960758577,1638960761266
question,/ameM9v8nctyy8MRHMJfRX7/health/health_fac_2hours,1638960761274,1638960761956
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/handwashing_facilities,1638960761965,1638960762410
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/latrine_disability_friendly,1638960762419,1638960763883
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/handwashing_facilities,1638960763892,1638960764969
question,/ameM9v8nctyy8MRHMJfRX7/health/health_fac_2hours,1638960764977,1638960767610
question,/ameM9v8nctyy8MRHMJfRX7/health/health_barriers,1638960767618,1638960770531
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/debt_amount,1638960770538,1638960801468
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/debt_expenditure,1638960801476,1638960813741
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/adult_working,1638960813748,1638960820301
question,/ameM9v8nctyy8MRHMJfRX7/protection/protection_question,1638960820309,1638960824462
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/adult_working,1638960824471,1638960830334
question,/ameM9v8nctyy8MRHMJfRX7/protection/protection_question,1638960830342,1638960833059
question,/ameM9v8nctyy8MRHMJfRX7/protection/environmental_dangers,1638960833067,1638960838022
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod/assist_preference,1638960838030,1638960840319
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod/cash_safe_market,1638960840329,1638960842509
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod/feedback_preference,1638960842516,1638960844974
question,/ameM9v8nctyy8MRHMJfRX7/comment_box,1638960844981,1638960850747
end screen,,1638960850755,1638960880113
form save,,1638960880373,
form exit,,1638960880373,
form finalize,,1638960880373,

