event,node,start,end
form start,,1639379825877,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639379825879,1639379826569
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639379826589,1639379827879
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639379827895,1639379829570
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639379829587,1639379843924
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639379843938,1639379846624
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639379846732,1639379849784
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639379849824,1639379858912
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639379858927,1639379860154
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639379860168,1639379862223
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639379862237,1639379867273
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639379867286,1639379867989
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639379868004,1639379879151
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639379879164,1639379883361
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639379883375,1639379890451
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639379890465,1639379893944
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639379893959,1639379902272
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639379902287,1639379905522
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639379905533,1639379906773
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639379906785,1639379916817
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639379916829,1639379918209
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639379918223,1639379919810
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639379919822,1639379926229
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639379926243,1639379927295
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639379927308,1639379928322
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639379928335,1639379929288
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639379929304,1639379929954
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639379929971,1639379931789
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639379931802,1639379934132
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639379934145,1639379935515
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639379935529,1639379936857
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639379936869,1639379937916
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639379937929,1639379939283
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639379939296,1639379940984
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639379940996,1639379943626
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1639379943638,1639379949061
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1639379949075,1639379950319
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1639379950332,1639379952420
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1639379952433,1639379953753
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1639379953769,1639379954953
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1639379954968,1639379956221
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1639379956235,1639379966327
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1639379966340,1639379967927
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_province,1639379967941,1639379970695
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_district,1639379970727,1639379973504
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displacement_duration,1639379973535,1639379975421
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/move_intention,1639379975435,1639379976839
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected,1639379976856,1639379979756
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/loss_family_member,1639379979772,1639379982007
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_received,1639379982019,1639379983640
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/insuff_food,1639379983654,1639379985135
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/sold_asset,1639379985149,1639379987827
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/seek_employment,1639379987844,1639379989268
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/working,1639379989283,1639379993587
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/borrow,1639379993601,1639379995278
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/medical_attention,1639379995292,1639379997279
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/early_marry,1639379997295,1639379999237
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_eat_note,1639379999252,1639380000195
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/cereal,1639380000209,1639380004240
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/pulse,1639380004255,1639380006199
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/vegetable,1639380006213,1639380010616
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/fruit,1639380010625,1639380012184
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/meat,1639380012196,1639380013709
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/dairy,1639380013721,1639380015218
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/sugar,1639380015231,1639380016859
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/oil,1639380016875,1639380021728
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/condiment,1639380021742,1639380023569
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_had_to_note,1639380023581,1639380024536
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/less_food,1639380024548,1639380029864
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/borrow_food,1639380029878,1639380047952
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/limit_mealtime,1639380047966,1639380049853
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/restrict_consumption,1639380049865,1639380051586
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/reduce_meal,1639380051598,1639380052920
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_type,1639380052933,1639380055220
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_resident,1639380055235,1639380057863
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/tenure_status,1639380057876,1639380064319
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_concern,1639380064334,1639380066953
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/nfi_need,1639380066968,1639380071221
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_access,1639380071235,1639380073681
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_source,1639380073694,1639380078723
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_far_distance,1639380078735,1639380080149
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/latrine_access,1639380080164,1639380081666
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/latrine_disability_friendly,1639380081681,1639380084291
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/handwashing_facilities,1639380084307,1639380085808
question,/ameM9v8nctyy8MRHMJfRX7/health/health_fac_2hours,1639380085822,1639380087134
question,/ameM9v8nctyy8MRHMJfRX7/health/health_barriers,1639380087148,1639380090460
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/debt_amount,1639380090475,1639380116342
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/debt_expenditure,1639380116355,1639380121984
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/adult_working,1639380122003,1639380124227
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/adult_working_days,1639380124243,1639380129429
question,/ameM9v8nctyy8MRHMJfRX7/protection/protection_question,1639380129443,1639380131305
question,/ameM9v8nctyy8MRHMJfRX7/protection/environmental_dangers,1639380131319,1639380139198
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod/assist_preference,1639380139213,1639380140757
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod/cash_safe_market,1639380140770,1639380141907
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod/feedback_preference,1639380141921,1639380143690
question,/ameM9v8nctyy8MRHMJfRX7/comment_box,1639380143705,1639380145191
end screen,,1639380145205,1639380165084
jump,,1639380165086,1639380266191
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639380169334,1639380266191
jump,,1639380266192,1639380275746
end screen,,1639380275787,1639380554081
question,/ameM9v8nctyy8MRHMJfRX7/comment_box,1639380554084,1639380558001
end screen,,1639380558018,1639380667881
jump,,1639380667882,1639380740632
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639380672193,1639380740632
jump,,1639380740633,1639380742718
end screen,,1639380742750,1639381017081
form save,,1639381017576,
form exit,,1639381017576,
form finalize,,1639381017576,

