event,node,start,end
form start,,1638951120035,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1638951120036,1638951139606
question,/ameM9v8nctyy8MRHMJfRX7/consent,1638951139627,1638951140984
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1638951141002,1638951142756
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1638951142773,1638951148507
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1638951148523,1638951152425
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1638951152464,1638951199717
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1638951199733,1638951220073
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1638951220087,1638951281944
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1638951281960,1638951284332
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1638951284346,1638951288204
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1638951288220,1638951291547
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1638951291561,1638951308198
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1638951308213,1638951325415
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1638951325429,1638951332937
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1638951332954,1638951334854
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1638951334869,1638951347433
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1638951347448,1638951352135
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1638951352150,1638951354086
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1638951354103,1638951366738
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1638951366752,1638951368648
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1638951368663,1638951385658
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638951385675,1638951399127
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638951399142,1638951405029
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638951405043,1638951411366
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638951411381,1638951417401
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638951417417,1638951439726
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1638951439740,1638951446776
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1638951446791,1638951449069
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1638951449083,1638951450452
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1638951450468,1638951452511
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1638951452526,1638951453920
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1638951453935,1638951463546
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1638951463560,1638951464979
