event,node,start,end
form start,,1638353116661,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1638353116663,1638353117528
question,/ameM9v8nctyy8MRHMJfRX7/consent,1638353117597,1638353118837
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1638353118854,1638353139288
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1638353139304,1638353148008
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1638353148024,1638353151166
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1638353151205,1638353157977
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1638353158000,1638353166480
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1638353166492,1638353214869
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1638353214885,1638353217363
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1638353217381,1638353223088
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1638353223104,1638353223721
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1638353223734,1638353238484
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1638353238500,1638353253880
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1638353253896,1638353258848
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1638353258867,1638353260615
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1638353260633,1638353273353
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1638353273367,1638353277546
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1638353277558,1638353280789
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1638353280802,1638353341109
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1638353341123,1638353342645
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1638353342660,1638353346754
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638353346767,1638353362594
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638353362608,1638353367899
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638353367913,1638353373342
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638353373355,1638353376743
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638353376756,1638353394909
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638353394924,1638353396375
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638353396388,1638353397716
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638353397730,1638353400343
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638353400357,1638353405785
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638353405800,1638353406919
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638353406932,1638353408287
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638353408300,1638353409437
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638353409449,1638353410253
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638353410266,1638353411480
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638353411493,1638353412104
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638353412116,1638353413463
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638353413476,1638353414338
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638353414354,1638353415764
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638353415777,1638353418714
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1638353418728,1638353420465
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1638353420478,1638353423724
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1638353423738,1638353442033
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1638353442046,1638353443175
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1638353443187,1638353446034
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638353446048,1638353447560
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638353447573,1638353449785
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638353449799,1638353450277
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1638353450292,1638353450719
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1638353450735,1638353451281
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1638353451295,1638353452153
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1638353452165,1638353453578
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1638353453592,1638353454920
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1638353454937,1638353457120
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1638353457132,1638353458689
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1638353458707,1638353460638
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1638353460653,1638353462123
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1638353462143,1638353465048
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1638353465062,1638353465897
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1638353465917,1638353466931
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_walking,1638353466948,1638353468582
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1638353468606,1638353470049
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1638353470063,1638353471692
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1638353471716,1638353473442
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1638353473457,1638353486322
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1638353486338,1638353493810
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/move_intention,1638353493831,1638353495652
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected,1638353495667,1638353498077
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected_o,1638353498091,1638353516258
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/loss_family_member,1638353516270,1638353518883
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_received,1638353518898,1638353520525
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/insuff_food,1638353520538,1638353526480
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/sold_asset,1638353526493,1638353532915
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/seek_employment,1638353532932,1638353538608
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/working,1638353538627,1638353540366
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/borrow,1638353540379,1638353542209
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/medical_attention,1638353542229,1638353543984
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/early_marry,1638353543997,1638353545574
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_eat_note,1638353545589,1638353546458
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/cereal,1638353546472,1638353548510
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/pulse,1638353548523,1638353554362
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/vegetable,1638353554375,1638353556746
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/fruit,1638353556760,1638353558572
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/meat,1638353558586,1638353559856
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/dairy,1638353559869,1638353561230
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/sugar,1638353561244,1638353564640
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/oil,1638353564652,1638353567615
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/condiment,1638353567628,1638353569348
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_had_to_note,1638353569361,1638353570290
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/less_food,1638353570303,1638353574001
