event,node,start,end
form start,,1638957911127,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1638957911129,1638957912108
question,/ameM9v8nctyy8MRHMJfRX7/consent,1638957912122,1638957913208
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1638957913220,1638957914587
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1638957914599,1638957918900
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1638957918913,1638957921778
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1638957921912,1638957924539
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1638957924571,1638957956090
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1638957956104,1638957971375
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1638957971387,1638957982570
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1638957982583,1638957986616
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1638957986629,1638957987433
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1638957987445,1638958008323
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1638958008336,1638958022145
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1638958022158,1638958037346
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1638958037359,1638958039073
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1638958039085,1638958072494
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1638958072507,1638958081445
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1638958081458,1638958084406
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1638958084420,1638958098796
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1638958098810,1638958100223
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1638958100237,1638958109117
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638958109130,1638958116492
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638958116506,1638958118144
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638958118158,1638958119479
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638958119492,1638958131250
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638958131263,1638958133285
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1638958133299,1638958134620
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1638958134634,1638958138300
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1638958138313,1638958139659
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1638958139673,1638958140952
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1638958140966,1638958142346
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1638958142357,1638958147375
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1638958147386,1638958148768
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1638958148779,1638958421108
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1638958421121,1638958422760
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1638958422774,1638958425296
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1638958425311,1638958426648
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1638958426661,1638958428758
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1638958428771,1638958430185
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1638958430200,1638958439302
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1638958439316,1638958442840
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_province,1638958442854,1638958520329
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_district,1638958520357,1638958530206
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displacement_duration,1638958530235,1638958532633
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/move_intention,1638958532647,1638958533868
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected,1638958533881,1638958535796
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/loss_family_member,1638958535808,1638958537538
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_received,1638958537548,1638958538991
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/insuff_food,1638958539004,1638958540742
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/sold_asset,1638958540755,1638958544359
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/seek_employment,1638958544371,1638958547613
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/working,1638958547626,1638958549948
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/borrow,1638958549961,1638958551701
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/medical_attention,1638958551712,1638958554912
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/early_marry,1638958554925,1638958555943
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/medical_attention,1638958555955,1638958557031
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/early_marry,1638958557044,1638958558605
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_eat_note,1638958558619,1638958559379
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/cereal,1638958559392,1638958560986
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/pulse,1638958560999,1638958562554
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/vegetable,1638958562568,1638958563805
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/fruit,1638958563819,1638958566083
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/meat,1638958566097,1638958567593
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/dairy,1638958567605,1638958569127
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/sugar,1638958569142,1638958570520
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/oil,1638958570534,1638958573015
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/condiment,1638958573028,1638958575122
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_had_to_note,1638958575138,1638958575964
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/less_food,1638958575979,1638958577253
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/borrow_food,1638958577266,1638958589700
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/limit_mealtime,1638958589714,1638958593980
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/restrict_consumption,1638958593993,1638958598342
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/reduce_meal,1638958598355,1638958600277
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/childs_health,1638958600289,1638958604829
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_type,1638958604843,1638958606565
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/childs_health,1638958606577,1638958607157
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_type,1638958607171,1638958608876
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_resident,1638958608891,1638958621973
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/tenure_status,1638958621989,1638958624384
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_concern,1638958624399,1638958627955
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/nfi_need,1638958627968,1638958639476
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_access,1638958639490,1638958640818
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_source,1638958640832,1638958643547
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_far_distance,1638958643560,1638958645056
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/latrine_access,1638958645070,1638958646300
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/latrine_disability_friendly,1638958646313,1638958647943
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/handwashing_facilities,1638958647955,1638958650880
question,/ameM9v8nctyy8MRHMJfRX7/health/health_fac_2hours,1638958650892,1638958653015
question,/ameM9v8nctyy8MRHMJfRX7/health/health_barriers,1638958653029,1638958658247
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/debt_amount,1638958658263,1638958718063
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/debt_expenditure,1638958718077,1638958721383
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/adult_working,1638958721396,1638958723485
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/debt_expenditure,1638958723497,1638958724978
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/adult_working,1638958724991,1638958726972
question,/ameM9v8nctyy8MRHMJfRX7/protection/protection_question,1638958726984,1638958735440
question,/ameM9v8nctyy8MRHMJfRX7/protection/environmental_dangers,1638958735452,1638958743508
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod/assist_preference,1638958743522,1638958744875
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod/cash_safe_market,1638958744891,1638958746477
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod/feedback_preference,1638958746490,1638958747077
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod/cash_safe_market,1638958747090,1638958748045
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod/feedback_preference,1638958748058,1638958750022
question,/ameM9v8nctyy8MRHMJfRX7/comment_box,1638958750035,1638958751032
end screen,,1638958751044,1638958811339
form save,,1638958812249,
form exit,,1638958812250,
form finalize,,1638958812250,

