event,node,start,end
form start,,1639460658380,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639460658381,1639460660201
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639460660210,1639460661493
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639460661503,1639460662724
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639460662733,1639460671978
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639460671986,1639460675045
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639460675112,1639460678690
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639460678703,1639460684414
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639460684423,1639460710936
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639460710944,1639460716809
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639460716818,1639460733058
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639460733066,1639460733910
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639460733917,1639460741214
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639460741222,1639460747418
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639460747427,1639460755003
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639460755013,1639460756590
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639460756599,1639460771215
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639460771225,1639460775914
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639460775924,1639460777578
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639460777587,1639460788817
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639460788825,1639460790226
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639460790236,1639460791001
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639460791007,1639460794538
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639460794548,1639460799999
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639460800008,1639460803882
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639460803894,1639460805489
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639460805497,1639460808651
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639460808657,1639460810421
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639460810428,1639460811336
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639460811345,1639460812059
