event,node,start,end
form start,,1639458191276,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639458191278,1639458195720
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639458195728,1639458205418
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639458205426,1639458207475
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639458207484,1639458212379
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639458212388,1639458222132
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639458222167,1639458228229
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639458228264,1639458240400
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639458240407,1639458254257
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639458254265,1639458257013
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639458257021,1639458265184
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639458265192,1639458266160
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639458266168,1639458274334
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639458274342,1639458307367
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639458307373,1639458312287
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639458312295,1639458314180
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639458314187,1639458324440
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639458324447,1639458339655
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639458339662,1639458341156
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639458341163,1639458358439
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639458358446,1639458361192
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639458361199,1639458369866
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639458369874,1639458371910
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639458371920,1639458379041
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639458379049,1639458405048
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639458405057,1639458408385
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639458408393,1639458414876
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639458414884,1639458417103
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639458417111,1639458419714
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639458419724,1639458421224
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639458421234,1639458423017
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639458423025,1639458424410
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639458424418,1639458425836
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639458425844,1639458426929
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1639458426941,1639458428872
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639458428880,1639458430290
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1639458430298,1639458436062
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1639458436070,1639458438573
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1639458438581,1639458441259
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1639458441266,1639458448385
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1639458448392,1639458450913
