event,node,start,end
form start,,1639290326787,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639290326788,1639290328073
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639290328086,1639290333177
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639290333186,1639290336168
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639290336180,1639290346660
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639290346671,1639290355021
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639290355037,1639290356670
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639290356682,1639290359665
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639290359700,1639290373874
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639290373901,1639290374905
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639290374932,1639290382774
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639290382799,1639290417333
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639290417343,1639290443565
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639290443573,1639290451041
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639290451048,1639290466091
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639290466101,1639290473646
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639290473656,1639290506686
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639290506696,1639290532456
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639290532468,1639290571253
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639290571279,1639290573492
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639290573503,1639290589500
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639290589509,1639290599524
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639290599533,1639290602149
