event,node,start,end
form start,,1638948457483,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1638948457484,1638948458228
question,/ameM9v8nctyy8MRHMJfRX7/consent,1638948458233,1638948459738
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1638948459744,1638948461351
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1638948461356,1638948468930
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1638948468935,1638948472240
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1638948472340,1638948475057
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1638948475136,1638948482728
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1638948482732,1638948536160
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1638948536167,1638948538463
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1638948538471,1638948542276
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1638948542283,1638948543142
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1638948543147,1638948555024
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1638948555030,1638948644910
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1638948644917,1638948645940
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1638948645945,1638948647189
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1638948647194,1638948648313
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1638948648323,1638948649185
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1638948649190,1638948651251
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1638948651257,1638948652753
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1638948652758,1638948659842
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1638948659848,1638948662260
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1638948662265,1638948702267
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1638948702271,1638948708205
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1638948708209,1638948709727
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1638948709735,1638948740232
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1638948740239,1638948742337
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1638948742343,1638948745206
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638948745213,1638948746699
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638948746704,1638948756067
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638948756073,1638948759146
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638948759152,1638948759946
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638948759951,1638948761777
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638948761781,1638948763299
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638948763306,1638948764824
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1638948764830,1638948766161
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1638948766166,1638948768082
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1638948768088,1638948769614
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1638948769619,1638948771172
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1638948771178,1638948772709
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1638948772715,1638948775739
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1638948775745,1638948777305
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1638948777314,1638948779334
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1638948779341,1638948780584
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1638948780589,1638948781649
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1638948781655,1638948782921
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1638948782927,1638948783982
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1638948783992,1638948785036
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1638948785040,1638948787474
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1638948787478,1638948802191
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/move_intention,1638948802196,1638948803780
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected,1638948803790,1638948809171
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/loss_family_member,1638948809180,1638948813838
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_received,1638948813845,1638948815537
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/insuff_food,1638948815540,1638948816951
