event,node,start,end
form start,,1638856967938,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1638856967939,1638856969363
question,/ameM9v8nctyy8MRHMJfRX7/consent,1638856969375,1638856988373
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1638856988382,1638856990614
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1638856990622,1638857010437
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1638857010444,1638857011857
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1638857011864,1638857013973
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1638857013981,1638857030036
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1638857030067,1638857033152
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1638857033162,1638857039500
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1638857039507,1638857040516
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1638857040523,1638857043891
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1638857043899,1638857048126
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1638857048134,1638857049418
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1638857049425,1638857087907
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1638857087915,1638857097979
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1638857097987,1638857099406
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1638857099414,1638857107700
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1638857107707,1638857124660
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1638857124667,1638857128804
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1638857128811,1638857151144
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1638857151152,1638857159717
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1638857159724,1638857161793
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1638857161800,1638857172012
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1638857172020,1638857174417
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1638857174425,1638857177306
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638857177314,1638857193444
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638857193451,1638857194958
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638857194965,1638857209919
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638857209927,1638857212057
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638857212065,1638857221116
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1638857221124,1638857222592
