event,node,start,end
form start,,1638854581106,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1638854581107,1638854584116
question,/ameM9v8nctyy8MRHMJfRX7/consent,1638854584121,1638854586626
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1638854586630,1638854589249
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1638854589268,1638854607770
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1638854607779,1638854610938
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1638854611028,1638854617868
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1638854617878,1638854626164
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1638854626169,1638854736274
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1638854736282,1638854739028
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1638854739035,1638854747679
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1638854747684,1638854748512
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1638854748518,1638854848654
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1638854848664,1638854872854
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1638854872862,1638854889746
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1638854889754,1638854891742
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1638854891755,1638854902776
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1638854902785,1638854908504
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1638854908513,1638854910062
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1638854910066,1638854916786
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1638854916792,1638854925136
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1638854925141,1638854942267
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638854942277,1638854949862
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638854949867,1638854960568
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638854960573,1638854969188
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638854969193,1638854990346
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638854990355,1638855011863
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638855011868,1638855015077
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638855015082,1638855028332
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638855028341,1638855030688
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638855030695,1638855035463
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1638855035474,1638855037306
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638855037312,1638855050257
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1638855050263,1638855055537
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1638855055542,1638855057304
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1638855057319,1638855058676
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1638855058685,1638855060584
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1638855060593,1638855062056
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1638855062064,1638855064072
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1638855064079,1638855066943
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1638855066948,1638855072264
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1638855072272,1638855076297
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1638855076302,1638855083125
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1638855083131,1638855088017
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1638855088023,1638855096020
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1638855096030,1638855099559
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1638855099564,1638855104749
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1638855104761,1638855121791
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/move_intention,1638855121797,1638855123669
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected,1638855123674,1638855131453
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/loss_family_member,1638855131463,1638855136980
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_received,1638855136987,1638855143333
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/insuff_food,1638855143341,1638855157709
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_eat_note,1638855157718,1638855160142
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/cereal,1638855160148,1638855167348
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/pulse,1638855167355,1638855171937
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/vegetable,1638855171944,1638855181999
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/fruit,1638855182007,1638855191530
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/meat,1638855191536,1638855196242
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/dairy,1638855196248,1638855200160
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/sugar,1638855200172,1638855203245
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/oil,1638855203250,1638855215753
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/condiment,1638855215759,1638855219145
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_had_to_note,1638855219153,1638855220297
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/less_food,1638855220304,1638855229978
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/borrow_food,1638855229989,1638855250784
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/limit_mealtime,1638855250793,1638855259204
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/restrict_consumption,1638855259219,1638855267763
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/reduce_meal,1638855267771,1638855274088
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/childs_health,1638855274097,1638855297258
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_type,1638855297265,1638855305380
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_resident,1638855305388,1638855315281
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/tenure_status,1638855315288,1638855323115
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_concern,1638855323126,1638855344627
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/nfi_need,1638855344633,1638855351320
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_access,1638855351330,1638855353373
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_source,1638855353379,1638855354791
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_access,1638855354799,1638855420471
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_source,1638855420481,1638855423288
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_far_distance,1638855423293,1638855425155
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_source,1638855425161,1638855425538
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_access,1638855425544,1638855425933
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/nfi_need,1638855425939,1638855426679
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_access,1638855426686,1638855431362
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_source,1638855431368,1638855432824
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_far_distance,1638855432829,1638855434360
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/latrine_access,1638855434364,1638855436379
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/latrine_disability_friendly,1638855436383,1638855441528
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/handwashing_facilities,1638855441534,1638855447128
question,/ameM9v8nctyy8MRHMJfRX7/health/health_fac_2hours,1638855447136,1638855448906
question,/ameM9v8nctyy8MRHMJfRX7/health/health_barriers,1638855448911,1638855451156
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/debt_amount,1638855451164,1638855497172
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/debt_expenditure,1638855497180,1638855533653
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/adult_working,1638855533659,1638855546781
question,/ameM9v8nctyy8MRHMJfRX7/protection/protection_question,1638855546788,1638855555590
question,/ameM9v8nctyy8MRHMJfRX7/protection/environmental_dangers,1638855555598,1638855557975
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod/assist_preference,1638855557980,1638855561928
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod/cash_safe_market,1638855561935,1638855564468
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod/feedback_preference,1638855564472,1638855575089
question,/ameM9v8nctyy8MRHMJfRX7/comment_box,1638855575099,1638855580458
jump,,1638855580458,1638855593896
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/move_intention,1638855591367,1638855593896
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected,1638855593904,1638855595664
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/loss_family_member,1638855595670,1638855597495
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_received,1638855597501,1638855599339
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/insuff_food,1638855599344,1638855619994
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/sold_asset,1638855620004,1638855633770
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/seek_employment,1638855633777,1638855651665
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/working,1638855651671,1638855661890
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/borrow,1638855661895,1638855671747
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/medical_attention,1638855671754,1638855675281
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/early_marry,1638855675285,1638855679520
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_eat_note,1638855679531,1638855681293
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/cereal,1638855681297,1638855683818
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/pulse,1638855683828,1638855684628
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/vegetable,1638855684636,1638855685859
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/fruit,1638855685864,1638855688080
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/meat,1638855688086,1638855689024
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/dairy,1638855689031,1638855689891
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/sugar,1638855689905,1638855692660
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/oil,1638855692665,1638855693461
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/condiment,1638855693470,1638855694225
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_had_to_note,1638855694233,1638855696768
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/less_food,1638855696774,1638855697693
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/borrow_food,1638855697698,1638855702995
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/less_food,1638855703000,1638855718847
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/borrow_food,1638855718853,1638855719492
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/limit_mealtime,1638855719498,1638855720139
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/restrict_consumption,1638855720143,1638855720698
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/reduce_meal,1638855720704,1638855721303
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/childs_health,1638855721310,1638855722461
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_type,1638855722476,1638855723988
