event,node,start,end
form start,,1639388626570,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639388626571,1639388627614
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639388627636,1639388670499
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639388670514,1639388672184
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639388672197,1639388676827
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639388676839,1639388679911
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639388679945,1639388686088
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639388686117,1639388727833
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639388727847,1639388747789
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639388747803,1639388750267
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639388750279,1639388763594
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639388763614,1639388764720
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639388764734,1639388765344
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639388765354,1639388766145
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639388766161,1639388811190
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639388811208,1639388826175
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639388826189,1639388826710
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639388826725,1639388837345
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639388837358,1639388862061
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639388862075,1639388863845
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639388863857,1639388873315
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639388873328,1639388880342
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639388880356,1639388882459
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639388882472,1639388899187
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639388899200,1639388902997
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639388903008,1639388906423
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639388906435,1639388923821
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639388923836,1639388925431
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639388925443,1639388928890
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639388928902,1639388931099
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639388931111,1639388938316
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639388938329,1639388944353
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639388944368,1639388945978
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639388945990,1639388947270
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639388947284,1639388949479
