event,node,start,end
form start,,1639302572439,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639302572440,1639302573338
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639302573345,1639302574877
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639302574884,1639302576514
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639302576521,1639302582840
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639302582847,1639302591329
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639302591372,1639302597413
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639302597425,1639302617943
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639302617950,1639302649562
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639302649569,1639302662004
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639302662010,1639302691575
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639302691582,1639302692820
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639302692829,1639302694006
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639302694014,1639302695151
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639302695158,1639302723461
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639302723468,1639302734767
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639302734774,1639302745470
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639302745477,1639302752197
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639302752204,1639302762584
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639302762591,1639302799017
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639302799032,1639302804622
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639302804629,1639302813855
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639302813862,1639302817573
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639302817583,1639302826631
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639302826638,1639302833643
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639302833650,1639302853003
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639302853011,1639302855526
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639302855533,1639302857381
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639302857389,1639302861910
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639302861918,1639302863841
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639302863848,1639302868646
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639302868653,1639302872372
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639302872379,1639302874636
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639302874644,1639302876115
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1639302876123,1639302884270
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639302884278,1639302895659
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1639302895667,1639302901726
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1639302901733,1639302905761
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1639302905769,1639302909405
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1639302909413,1639302913800
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_remembering,1639302913808,1639302917626
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1639302917635,1639302931331
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1639302931339,1639302934548
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1639302934556,1639302940923
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1639302940930,1639302947599
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_province,1639302947608,1639302953147
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_district,1639302953176,1639302955796
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displacement_duration,1639302955808,1639302958169
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/move_intention,1639302958178,1639302960952
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected,1639302960960,1639302963249
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/loss_family_member,1639302963256,1639302967352
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_received,1639302967359,1639302970595
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/insuff_food,1639302970604,1639302980266
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/sold_asset,1639302980273,1639302984025
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/seek_employment,1639302984034,1639302987577
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/working,1639302987585,1639302990149
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/borrow,1639302990156,1639302994411
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/medical_attention,1639302994418,1639302998372
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/early_marry,1639302998379,1639303001629
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_eat_note,1639303001636,1639303002664
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/early_marry,1639303002673,1639303006442
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_eat_note,1639303006450,1639303007844
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/cereal,1639303007851,1639303014207
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/pulse,1639303014215,1639303019421
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/vegetable,1639303019429,1639303022704
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/fruit,1639303022712,1639303025671
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/meat,1639303025678,1639303028227
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/dairy,1639303028235,1639303031277
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/sugar,1639303031285,1639303034728
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/oil,1639303034736,1639303036775
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/condiment,1639303036783,1639303039940
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_had_to_note,1639303039947,1639303041335
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/less_food,1639303041345,1639303043351
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/borrow_food,1639303043359,1639303044797
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/limit_mealtime,1639303044803,1639303046259
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/restrict_consumption,1639303046266,1639303048657
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/reduce_meal,1639303048664,1639303050537
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/childs_health,1639303050544,1639303054513
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_type,1639303054521,1639303060362
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_resident,1639303060372,1639303097470
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/tenure_status,1639303097480,1639303100796
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_concern,1639303100805,1639303105550
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/nfi_need,1639303105557,1639303116797
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_access,1639303116806,1639303121836
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_source,1639303121844,1639303130844
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_far_distance,1639303130853,1639303132790
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/latrine_access,1639303132800,1639303138674
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/latrine_disability_friendly,1639303138685,1639303142375
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/handwashing_facilities,1639303142388,1639303161409
question,/ameM9v8nctyy8MRHMJfRX7/health/health_fac_2hours,1639303161416,1639303163849
question,/ameM9v8nctyy8MRHMJfRX7/health/health_barriers,1639303163857,1639303170100
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/debt_amount,1639303170108,1639303188341
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/debt_expenditure,1639303188348,1639303198643
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/adult_working,1639303198650,1639303203557
question,/ameM9v8nctyy8MRHMJfRX7/protection/protection_question,1639303203564,1639303212999
question,/ameM9v8nctyy8MRHMJfRX7/protection/environmental_dangers,1639303213008,1639303215464
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod/assist_preference,1639303215471,1639303218087
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod/cash_safe_market,1639303218096,1639303235116
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod/feedback_preference,1639303235125,1639303239445
question,/ameM9v8nctyy8MRHMJfRX7/comment_box,1639303239456,1639303261061
end screen,,1639303261068,1639303274355
question,/ameM9v8nctyy8MRHMJfRX7/comment_box,1639303274356,1639303291168
end screen,,1639303291175,1639303631962
question,/ameM9v8nctyy8MRHMJfRX7/comment_box,1639303631963,1639303633876
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod/feedback_preference,1639303633883,1639303638572
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod/cash_safe_market,1639303638581,1639303642775
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod/assist_preference,1639303642783,1639303647780
question,/ameM9v8nctyy8MRHMJfRX7/protection/environmental_dangers,1639303647789,1639303649360
question,/ameM9v8nctyy8MRHMJfRX7/protection/protection_question,1639303649367,1639303652644
question,/ameM9v8nctyy8MRHMJfRX7/protection/environmental_dangers,1639303652656,1639303658643
question,/ameM9v8nctyy8MRHMJfRX7/protection/protection_question,1639303658650,1639303659286
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/adult_working,1639303659293,1639303660641
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/debt_expenditure,1639303660649,1639303662178
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/debt_amount,1639303662185,1639303662888
question,/ameM9v8nctyy8MRHMJfRX7/health/health_barriers,1639303662898,1639303664275
