event,node,start,end
form start,,1639027824976,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639027824977,1639027836057
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639027836073,1639027838380
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639027838392,1639027839707
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639027839720,1639027843567
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639027843581,1639027847759
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639027847802,1639027850753
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639027850787,1639027858755
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639027858770,1639027859912
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639027859929,1639027862332
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639027862345,1639027870723
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639027870737,1639027871616
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639027871631,1639027880011
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639027880024,1639027886453
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639027886465,1639027892080
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639027892094,1639027893830
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639027893848,1639027904961
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639027904976,1639027913753
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639027913765,1639027915704
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639027915717,1639027930229
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639027930244,1639027933551
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639027933563,1639027937895
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639027937908,1639027948415
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639027948432,1639027950066
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639027950080,1639027951918
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639027951935,1639027953157
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639027953169,1639027954925
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639027954940,1639027956591
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639027956609,1639027959342
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639027959360,1639027960960
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639027960974,1639027962327
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639027962340,1639027963520
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639027963536,1639027965720
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1639027965733,1639027973222
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1639027973243,1639027975114
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1639027975128,1639027977306
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1639027977320,1639027978490
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1639027978503,1639027981815
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1639027981830,1639027984143
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1639027984159,1639028233560
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1639028233574,1639028453674
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1639028453693,1639028462448
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1639028462461,1639028471117
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1639028471136,1639028479871
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1639028479883,1639028482914
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_province,1639028482927,1639028488098
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_district,1639028488123,1639028490756
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displacement_duration,1639028490783,1639028492924
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/move_intention,1639028492946,1639028494400
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected,1639028494413,1639028496168
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/loss_family_member,1639028496181,1639028499376
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_received,1639028499388,1639028501885
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/insuff_food,1639028501901,1639028505629
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/sold_asset,1639028505647,1639028507088
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/seek_employment,1639028507102,1639028508407
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/working,1639028508420,1639028509963
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/borrow,1639028509975,1639028511899
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/medical_attention,1639028511911,1639028515607
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/borrow,1639028515622,1639028516315
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/working,1639028516329,1639028517425
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/seek_employment,1639028517441,1639028518342
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/sold_asset,1639028518357,1639028519179
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/insuff_food,1639028519194,1639028519950
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_received,1639028519970,1639028520815
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/loss_family_member,1639028520835,1639028521817
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected,1639028521841,1639028525967
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/move_intention,1639028525983,1639028526734
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displacement_duration,1639028526749,1639028527501
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_district,1639028527527,1639028528227
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_province,1639028528249,1639028528844
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1639028528857,1639028529703
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1639028529725,1639028530577
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1639028530599,1639028531711
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1639028531731,1639028534680
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1639028534696,1639028536807
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1639028536826,1639028537503
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1639028537517,1639028537979
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1639028537995,1639028538329
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1639028538343,1639028538672
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_province,1639028538684,1639028539280
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_district,1639028539306,1639028539954
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displacement_duration,1639028539974,1639028540288
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/move_intention,1639028540300,1639028540931
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected,1639028540946,1639028541288
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/loss_family_member,1639028541300,1639028541664
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_received,1639028541677,1639028542255
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/insuff_food,1639028542268,1639028542800
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/sold_asset,1639028542813,1639028543356
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/seek_employment,1639028543370,1639028544073
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/working,1639028544089,1639028544868
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/borrow,1639028544887,1639028545399
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/medical_attention,1639028545413,1639028548684
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/early_marry,1639028548699,1639028550650
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_eat_note,1639028550667,1639028551550
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/cereal,1639028551564,1639028553122
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/pulse,1639028553137,1639028554663
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/vegetable,1639028554675,1639028557820
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/fruit,1639028557835,1639028560705
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/meat,1639028560718,1639028562073
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/dairy,1639028562087,1639028563691
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/sugar,1639028563703,1639028565315
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/oil,1639028565328,1639028567456
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/condiment,1639028567469,1639028570063
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_had_to_note,1639028570079,1639028571307
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/less_food,1639028571323,1639028572791
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/borrow_food,1639028572804,1639028585771
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/limit_mealtime,1639028585784,1639028588302
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/restrict_consumption,1639028588316,1639028592636
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/reduce_meal,1639028592649,1639028596481
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_type,1639028596492,1639028603703
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_resident,1639028603715,1639028606363
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/tenure_status,1639028606376,1639028615747
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_concern,1639028615758,1639028626350
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/nfi_need,1639028626362,1639028631704
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_access,1639028631717,1639028634236
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_source,1639028634248,1639028636004
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_far_distance,1639028636017,1639028637655
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/latrine_access,1639028637668,1639028639088
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/latrine_disability_friendly,1639028639100,1639028640530
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/handwashing_facilities,1639028640542,1639028641988
question,/ameM9v8nctyy8MRHMJfRX7/health/health_fac_2hours,1639028642001,1639028643397
question,/ameM9v8nctyy8MRHMJfRX7/health/health_barriers,1639028643410,1639028652075
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/debt_amount,1639028652087,1639028657134
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/debt_expenditure,1639028657149,1639028669014
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/adult_working,1639028669027,1639028671340
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/adult_working_days,1639028671352,1639028674167
question,/ameM9v8nctyy8MRHMJfRX7/protection/protection_question,1639028674179,1639028676801
question,/ameM9v8nctyy8MRHMJfRX7/protection/environmental_dangers,1639028676814,1639028679225
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod/assist_preference,1639028679242,1639028680868
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod/feedback_preference,1639028680880,1639028682319
question,/ameM9v8nctyy8MRHMJfRX7/comment_box,1639028682335,1639028683845
end screen,,1639028683858,1639028755236
question,/ameM9v8nctyy8MRHMJfRX7/comment_box,1639028755239,1639028758234
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod/feedback_preference,1639028758248,1639028759375
question,/ameM9v8nctyy8MRHMJfRX7/comment_box,1639028759389,1639028782247
end screen,,1639028782263,1639028783099
form save,,1639028783465,
form exit,,1639028783466,
form finalize,,1639028783466,

