event,node,start,end
form start,,1638767741398,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1638767741400,1638767746019
question,/ameM9v8nctyy8MRHMJfRX7/consent,1638767746031,1638767750999
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1638767751008,1638767754649
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1638767754658,1638767765621
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1638767765630,1638767829882
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1638767829921,1638767834635
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1638767834650,1638767842437
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1638767842445,1638767843643
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1638767843652,1638767847749
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1638767847759,1638767852712
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1638767852720,1638767853903
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1638767853913,1638767863284
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1638767863293,1638767874041
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1638767874049,1638767877715
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1638767877724,1638767881455
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1638767881463,1638767889509
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1638767889518,1638767894745
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1638767894754,1638767904206
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1638767904215,1638767914386
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1638767914395,1638767916427
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1638767916436,1638767916897
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1638767916906,1638767940638
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1638767940647,1638767943791
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1638767943800,1638767954900
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638767954908,1638767970827
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638767970838,1638767975242
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638767975251,1638767981697
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638767981705,1638767984305
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638767984313,1638767986764
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1638767986772,1638767989096
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1638767989105,1638767992859
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1638767992866,1638767994688
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1638767994697,1638767997019
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1638767997028,1638768003094
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1638768003104,1638768006276
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1638768006283,1638768008854
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1638768008862,1638768009310
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1638768009319,1638768009744
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1638768009752,1638768011283
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1638768011292,1638768012527
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1638768012535,1638768014874
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1638768014883,1638768018169
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638768018178,1638768021897
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1638768021906,1638768022759
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1638768022768,1638768023333
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1638768023341,1638768024045
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1638768024055,1638768024790
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1638768024798,1638768025609
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1638768025618,1638768026587
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1638768026595,1638768027765
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1638768027778,1638768029436
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1638768029444,1638768036790
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1638768036799,1638768040645
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1638768040653,1638768042660
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1638768042670,1638768044140
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1638768044147,1638768044680
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1638768044688,1638768059227
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1638768059235,1638768062579
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1638768062587,1638768075476
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1638768075484,1638768079259
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1638768079268,1638768081700
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1638768081711,1638768089641
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1638768089649,1638768099859
