event,node,start,end
form start,,1638960849004,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1638960849005,1638960853348
question,/ameM9v8nctyy8MRHMJfRX7/consent,1638960853355,1638960855212
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1638960855217,1638960857364
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1638960857370,1638960863199
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1638960863206,1638960867675
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1638960867778,1638960872490
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1638960872499,1638960885158
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1638960885164,1638960887596
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1638960887604,1638960891746
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1638960891752,1638960896014
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1638960896019,1638960897289
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1638960897294,1638960913880
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1638960913886,1638960928755
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1638960928762,1638960937390
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1638960937398,1638960939351
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1638960939359,1638960970235
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1638960970243,1638960976396
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1638960976403,1638960979564
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1638960979571,1638960998527
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1638960998534,1638961001684
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1638961001692,1638961006516
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638961006523,1638961014455
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638961014461,1638961024842
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638961024848,1638961027737
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638961027743,1638961029737
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638961029743,1638961033451
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638961033458,1638961036106
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638961036116,1638961064866
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1638961064872,1638961067150
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1638961067159,1638961069642
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1638961069649,1638961072308
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1638961072315,1638961075118
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1638961075123,1638961077961
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1638961077968,1638961080898
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1638961080904,1638961083802
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/total_mem_confirm,1638961083810,1638961086778
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1638961086785,1638961089025
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1638961089032,1638961090943
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1638961090950,1638961092762
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1638961092768,1638961093903
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1638961093910,1638961095932
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1638961095938,1638961098275
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1638961098281,1638961099480
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638961099487,1638961102548
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1638961102555,1638961103726
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1638961103733,1638961104831
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1638961104837,1638961106032
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1638961106039,1638961107173
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1638961107179,1638961108343
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1638961108350,1638961109717
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1638961109723,1638961111264
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1638961111270,1638961124663
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1638961124669,1638961126432
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1638961126439,1638961129966
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1638961129971,1638961133225
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1638961133231,1638961133820
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1638961133826,1638961138150
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_hearing,1638961138157,1638961140030
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1638961140044,1638961141623
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1638961141630,1638961149350
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1638961149356,1638961158243
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1638961158249,1638961161100
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1638961161105,1638961163737
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1638961163743,1638961168927
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_province,1638961168933,1638961174926
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_district,1638961174995,1638961178448
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displacement_duration,1638961178457,1638961180906
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/move_intention,1638961180914,1638961182625
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displacement_duration,1638961182632,1638961186849
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/move_intention,1638961186854,1638961191868
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected,1638961191875,1638961195690
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/loss_family_member,1638961195696,1638961198098
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_received,1638961198104,1638961200249
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_when,1638961200254,1638961203200
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_type,1638961203208,1638961205009
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/insuff_food,1638961205014,1638961221314
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/sold_asset,1638961221320,1638961231466
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/seek_employment,1638961231472,1638961248324
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/working,1638961248330,1638961281770
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/borrow,1638961281777,1638961286175
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/medical_attention,1638961286181,1638961290409
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/early_marry,1638961290415,1638961293131
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_eat_note,1638961293137,1638961295406
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/cereal,1638961295414,1638961297568
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/pulse,1638961297575,1638961321637
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/vegetable,1638961321645,1638961324014
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/fruit,1638961324021,1638961325943
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/meat,1638961325950,1638961328838
